
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D05ENG	AVX701	Colorectal cancer	153, 154	C18-C21
D05ENJ	Fasitibant chloride	Osteoarthritis	715	M15-M19, M47
D05EOT	CM-PK	Parkinson's disease	332	G20
D05EPE	VRC-SRSDNA015-00-VP	Sars coronavirus infection		J12.81
D05EPM	Ethotoin	Complex partial seizures	345.4	G40.2
D05EPU	ZD7114	Diabetes	253.5, 588.1	E23.2, N25.1
D05EPV	Ozoralizumab	Ankylosing spondylitis; Rheumatoid arthritis	720, 710-719, 714	M08.1, M45, M05-M06
D05EPY	L-693612	Glaucoma	365	H40-H42
D05ERA	PXL-01	Scar tissue		L00-L99
D05ERT	GV-196771	Migraine	346	G43
D05ETC	SN-32793	Non-small cell lung cancer		C33-C34
D05ETD	TRC-8XXX series	Non-insulin dependent diabetes		E11.9
D05EUH	H5N1 influenza virus vaccine	Influenza A virus H5N1	487, 488	J10, J11
D05EUI	DeltaFLU	Influenza virus		J11.1
D05EVF	Iodine-123-iodophenylpentadecanoic acid	Coronary artery disease	410-414, 429.2	I20-I25
D05EVI	U-78875	Anxiety disorder	300, 311	F32, F40-F42
D05EXN	CC-223	Solid tumours	140-199, 210-229	C00-D48
D05EYG	L-745337	Asthma		J45
D05FBZ	CPHPC	Parkinson's disease	332	G20
D05FEU	6-ethoxy-1,3-benzothiazole-2-sulfonamide	Duodenal ulcers		K25-K27
D05FFR	MGBG	Head and neck cancer	140-149, 140-229	C07-C14, C32-C33
D05FGG	Azilsartan	Hypertension	401	I10-I16
D05FGG-D09NIA	Azilsartan + Chlorthalidone	Hypertension	401	I10-I16
D05FGP	DWP-418	Cancer	140-229	C00-C96
D05FIJ	GSK2816126	Cancer	140-229	C00-C96
D05FNF	Ciclosporin intravenous	Brain injury		S09.90
D05FOB	GenFusAb	Leukemia	208.9	C90-C95
D05FOF	CHS-0214	Ischemic heart disorders	437.6, 453, 671.5, 671.9	I80-I82
D05FQD	Metaiodobenzylguanidine I-131	Neuroblastoma	194.0, 194.5, 194.6, 227.0, 227.5, 227.6, 237.3, 255.6	C74.1, C74.9, C75.4, C75.5, D35.0, D35.5, D35.6, D44.6, D44.7
D05FQF	FLUNOPROST	Nasal decongestant		R09.81
D05FRM	ApoVax104-HPV	Uterine cervix cancer		C53
D05FRP	Rindopepimut	Brain cancer; Glioblastoma multiforme	191, 225.0	C71, D33
D05FSK	MSL-143438	Yersinia infection	20	A20
D05FSX	Antihyperlipidemia agent	Hyperlipidaemia	272.0-272.4	E78
D05FTJ	Mefenamic acid	Rheumatold arthritis; Osteoarthritis; Dysmenorrhea	714, 715, 625.3	M05-M06, M15-M19, M47, N94.4-N94.6
D05FTY	ES-1005	Hypertension	401	I10-I16
D05FUU	Pratosartan	Hypertension	401	I10-I16
D05FVK	RPI-78M injectable	Multiple scierosis	340	G35
D05FVX	CDP-484	Immune disorder		D80-D89
D05FWF	Fostrap	Hyperphosphatemia	275.3	E22.1
D05FWH	SCH-900776	Cancer	140-229	C00-C96
D05FWH-D07XSN	Cytarabine + SCH 900776	Acute myelogenous leukemia		C92
D05FYA	Thioperamide	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D05GBH	F4co vaccine	Human immunodeficiency virus infection	279.3	B20-B26
D05GBR	MVA CSP	Malaria		B54
D05GBV	RDX-5791	Constipation	564	K59.0
D05GBZ	ABS-205	Neurodegenerative disease	330-337	G30-G32
D05GCM	TriAb/TriGem	Lung cancer	162	C33-C34
D05GEF	KRN-5500	Peripheral neuropathy		G64
D05GFQ	Fluzone QIV ID	Ovarian cancer	183	C56
D05GGD	SYNVISC-ONE	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05GGN	Heparin	Deep vein thrombosis	437.6, 453, 453.40, 671.5, 671.9	I80-I82, I80.2
D05GGN-D09ZIO	Eptifibatide + Heparin	Acute coronary syndrome	444	I74
D05GGN-D0BN9X	heparin + tirofiban	Acute myocardial infarction	410	I21-I22
D05GGN-D0C3BS	Edoxaban + Heparin	Venous thromboembolism	453	I80-I82
D05GGN-D0E3OF	Heparin + Warfarin	Venous thromboembolism	453	I80-I82
D05GGN-D0GY5Z	Aspirin + Heparin	Recurrent abortion		O03
D05GGN-D0P3TX	Abciximab + Heparin	Myocardial infarction	410	I21, I22
D05GGN-D0V3ZA-D0X4RN	Heparin + Dihydroergotamine + Lidocaine	Venous thrombosis and its extension; Post-operative deep venous thrombosis and pulmonary embolism; Clotting in arterial and cardiac surgery		I26
D05GGP	HEGF	Diabetic foot ulcer	707	L88-L89
D05GHT	Thalassemia therapeutics	Thalassemia		D56
D05GIO	ICT-037	Cancer	140-229	C00-C96
D05GJJ	JR-051	Fabry's disease	272.7	E75.2
D05GJP	LBVH-0101	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05GJW	Cladribine	Hairy cell leukemia	202.4	C91.4
D05GKD	Tramadol	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05GKD-D0TR5X-D0Y5UG	amitriptyline + fluoxetine + tramadol	Fibromyalgia; Growth hormone deficiency		M79, E23
D05GKD-D0U5QK	Tramadol + Acetaminophen	Acute low back pain		R52, G89
D05GKD-D0U5QK	Tramadol + Acetaminophen	Acute pain	338,780	R52, G89
D05GKD-D0U5QK	Tramadol + Acetaminophen	Osteoarthritis; Rheumatoid arthritis	715, 710-719, 714	M15-M19, M47, M05-M06
D05GKN	SBC-106	Lysosomal storage disease		E75-E77
D05GKZ	Follistatin	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D05GLI	Cholinergic therapeutics	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D05GLT	Norisoboldine	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05GMG	NNI-351	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D05GMV	SMP-534	Diabetic nephropathy	250.4	E11.21
D05GNW	AZD-9164	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D05GOA	Vivia-1615	Cancer	140-229	C00-C96
D05GOM	S-20928	Sleep disorders	307.4, 327, 780.5	F51, G47
D05GPB	Eptacog alfa intravenous	Hemophilia	286	D66-D68
D05GPN	Recombinant human CFH protein	Renal disease		N00-N29
D05GPO	Olopatadine	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
D05GPO	Olopatadine	Ocular allergy	360-379	H00-H59
D05GPX	Y-26763	Unspecified		
D05GQD	CSA-13	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05GQH	ADX-88178	Anxiety disorder	300, 311	F32, F40-F42
D05GQL	KNI-102	Human immunodeficiency virus infection	279.3	B20-B26
D05GQV	RTA-801	Motor neurone disease	335.2	G12.2
D05GRY	Nesiritide	Acutely decompensated congestive heart failure		I50
D05GSI	LA-480	Cancer	140-229	C00-C96
D05GUK	INTOPLICINE	Solid tumours	140-199, 210-229	C00-D48
D05GVO	PAT-NM-1	Cancer	140-229	C00-C96
D05GVQ	Muromonab-cd3	Graft-versus-host disease; Immuno-suppressant	279.5	T86.0
D05GYL	UR-63325	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D05GZD	Rilapladib	Arteriosclerosis	440	I70
D05HAD	DP-4088	Blood coagulation disorders		D65-D68
D05HAJ	Follitropin alfa/lutropin alfa	Idiopathic male factor infertility		N46
D05HBZ	E 7974	Ovarian cancer	183	C56
D05HCO	1954U89	Solid tumours	140-199, 210-229	C00-D48
D05HDX	GW-501516	Type 1 diabetes	250	E10
D05HEJ	Beta 1-6 glucan-conjugated trastuzumab	Breast cancer	174, 175	C50
D05HFN	99mTc-tetrofosmin	Breast cancer	174, 175	C50
D05HFU	TGX-6B4	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05HFY	Acenocoumarol	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05HGL	GW-695634	Human immunodeficiency virus infection	279.3	B20-B26
D05HHP	Astenose	Atherosclerosis	414.0, 440	I70
D05HHZ	NX-002	Inflammatory bowel disease	555, 556	K50, K51
D05HID	rAAV1.tMCK.human-alpha-sarcoglycan	Unspecified		
D05HIJ	SAR260301	Pten-deficient tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
D05HIP	Comvac4-HB	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05HIX	MK-6406	Infections	001-139	A00-B99
D05HJO	PD-2024	Insulin resistance		E00-E90
D05HKB	RS 86	Alzheimer disease	331	G30
D05HLC	NVC-727	Conjunctivitis	372	H10
D05HPI	Daptomycin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05HPI-D0G3DL	Daptomycin + Rifampin	Staphylococcus aureus infection		B95.6
D05HPI-D0YA9Z	Ampicillin + Daptomycin	Staphylococcus aureus infection		B95.6
D05HRW	SKL-NP2	Neuropathic pain	356.0, 356.8	G64, G90.0
D05HSC	Tubocurarine	Smoking withdrawl syndrom; Anesthesia	292, 338	F17.2, R20.0
D05HSI	T-0632	Pancreatic disease		K85-K86
D05HTS	PLX8394	Melanoma	172	C43
D05HUG	OMS-403	Nicotine dependence; Opioid dependence	304.0, 305.1	F11.2, F17
D05HUQ	BIOVANCE	Wound healing		T14.0-T14.1
D05HUZ	TTI-314	Autoimmune diabetes		E08-E13
D05HVY	GSK-644784	Neuropathic pain	356.0, 356.8	G64, G90.0
D05HWN	BIIB-021	Breast cancer	174, 175	C50
D05HWX	99mTc-depreotide	Melanoma	172	C43
D05HXX	Tranexamic Acid	Excessive bleeding	459	R58
D05HYB	Calcium-dependent lipopeptide antibiotics	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
D05HYC	F-50077	Respiratory syncytial virus infection	79.6	B97.4
D05HYL	YM-022	Gastrointestinal disease		K00-K93
D05HYT	IPAZILIDE FUMARATE	Cardiac arrhythmias	427	I47-I49
D05HZI	MDL 101,731	Gastric cancer	151	C16
D05HZJ	GPC-3298306	Hepatocellular carcinoma	155	C22.0
D05IAN	G3139 + Irinotecan	Metastatic colorectal cancer	153, 154	C18-C21
D05IBA	Shanvac-B	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05IBV	AR-12432	Ocular disease		H00-H59
D05ICS	ProSavin	Parkinson's disease	332	G20
D05IEN	Epstein Barr-based gene therapy	Cancer	140-229	C00-C96
D05IHU	Tetrahydrozoline	Ocular disease		H00-H59
D05IHZ	VP-20621	Multiple scierosis	340	G35
D05IIB	NoroVAXX	Norwalk virus infection		A08
D05IIN	SSR125543	Anxiety disorder	300, 311	F32, F40-F42
D05IIP	L-651582	Solid tumours	140-199, 210-229	C00-D48
D05IJM	Recruitin	Autoimmune diabetes		E08-E13
D05ILN	Agalsidase alfa	Fabry's disease	272.7	E75.2
D05ILZ	NN8209	Rheumatoid arthritis	710-719, 714	M05-M06
D05INV	PEGPH20	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D05IPF	Kombiglyze XR/Komboglyze FDC	Diabetes	253.5, 588.1	E23.2, N25.1
D05IPO	BTS-79018	Schizophrenia	295	F20
D05IQX	Belimumab	Systemic lupus erythematosus	710	M32
D05IRT	P276-00	Mantle cell lymphoma	200.4, 202.8, 203.0, 208.9	C81-C86, C85.7, C90.0, C91-C95
D05IRV	Elesclomol	Acute myeloid leukemia	205	C92.0
D05IRV-D0C4RB	Elesclomol + Paclitaxel	Melanoma	172	C43
D05ISV	Live attenuated human parainfluenza virus type 2 vaccine	Parainfluenza virus infection		J12.2
D05ITS	ALN-VEG01	Macular degeneration	362.5	H35.3
D05IUQ	Anti-PECAM-1 mab	Cancer	140-229	C00-C96
D05IVZ	RU-33965	Alzheimer disease	331	G30
D05IWE	Alloferon	Cancer	140-229	C00-C96
D05IYA	MEDI3902	Pseudomonas infection		B96.5
D05IYA	MEDI3902	Ventilator-associated pneumonia		J95
D05IZC	RGI-1001	Allergy	995.3	T78.4
D05IZG	BAY-Z-4305	HIV-1 infection	001-139, 042	B20-B24
D05JAA	ARRY-382	Cancer	140-229	C00-C96
D05JBP	IPI-194	Cancer	140-229	C00-C96
D05JCG	CBF-BS2	Rheumatoid arthritis	710-719, 714	M05-M06
D05JDR	Ceftibuten	Chronic bronchitis		J42
D05JEG	BMN-701	Pompe's disease		E74.02
D05JET	Remacemide	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05JFA	INTERCEPT	Infections	001-139	A00-B99
D05JFI	AKT protein kinase inhibitors	Cancer	140-229	C00-C96
D05JFY	Hydralazine hydrochloride/ isosorbide dinitrate	Heart failure	428	I50
D05JGR	TBDT	Overactive bladder disorder	188, 596.51	C67, N32.81
D05JHJ	LB-10522	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05JJC	PF-14	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05JJO	MOB-015	Onychomycosis		B35.1
D05JLG	ACS-6	Respiratory distress syndrome	518.5, 518.82	J80
D05JMP	IDR-803	Cancer	140-229	C00-C96
D05JMW	RGA-1512	Leukemia	208.9	C90-C95
D05JNI	Framycetin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05JPJ	ELND-004	Autoimmune diabetes		E08-E13
D05JQD	M-6040	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05JQF	Tipredane	Allergy	995.3	T78.4
D05JRG	Antithrombin alfa	Thrombin deficiency	437.6, 444.9, 453, 671.5, 671.9	I74, I80-I82, I82, O88, T79.0-T79.1
D05JSU	Edivoxetine	Major depressive disorder; Pediatric attention deficit hyperactivity disorder	296.2, 296.3, 314.0, 314.00, 314.01	F32, F33, F90
D05JTJ	IC-50	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05JXF	YD-501	Obesity	278	E66
D05JXM	PF-3932295	Obesity	278	E66
D05JXR	SC-52012	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05JXT	Antifungal vaccine	Mycoses		B49
D05JYW	Metallo-zanamivir	Influenza virus		J11.1
D05KAC	PG-102	Autoimmune diabetes		E08-E13
D05KBP	INO-8875	Glaucoma	365	H40-H42
D05KBU	Gabapentin enacarbil	Unspecified		
D05KCJ	ANZ-521	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05KED	Rocilinostat	Multiple myeloma	203	C90
D05KEZ	Ethyl chloride	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05KFA	BL-1832	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05KHN	ICI-169369	Anxiety disorder	300, 311	F32, F40-F42
D05KHP	ABC-3	Fibrosis	709.2	L90.5
D05KKC	CHML	Cancer	140-229	C00-C96
D05KKF	NC-2500	Hyperuricemia	790.6	E79.0
D05KKP	PF-06252616	Muscular dystrophy		G71.0
D05KKV	Dicaffeoylquinic acids	Human immunodeficiency virus infection	279.3	B20-B26
D05KLQ	HIV vaccines	Human immunodeficiency virus infection	279.3	B20-B26
D05KME	ORADUR-ADHD	Attention deficit hyperactivity disorder	314	F90
D05KNG	ALB-109564(a)	Solid tumours	140-199, 210-229	C00-D48
D05KOA	Prophylactic DNA vaccine	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05KON	Felbamate	Epilepsy		G40
D05KOP	Ii-Key hybrid peptide vaccine	Influenza A virus H1N1	487, 488	J10, J11
D05KOY	Stem cell therapy, spinal cord injury	Spinal cord injury		S14, S24, S34
D05KQE	MK-287	Septic shock	785.52	A41.9
D05KRC	Emopamil	Cerebrovascular ischaemia	434.91	I61-I63
D05KRH	CNDO-113	Cancer	140-229	C00-C96
D05KRS	CT-340	Arthritis	710-719	M00-M25
D05KSO	HCV therapeutics	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05KSY	LIM-0746	Cholesterol metabolism disorder		E70-E88
D05KTK	CJC-1004	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05KTV	NGD-93-1	Psychotic disorders	290-299	F20-F29
D05KUP	ERB-257	Sepsis	995.91	A40, A41
D05KVC	Paliroden	Parkinson's disease	332	G20
D05KWY	ZD-9063P	Solid tumours	140-199, 210-229	C00-D48
D05KXJ	GSK233705	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D05KZK	SMT-D002	Seborrhea		L21
D05KZM	Dimesna	Diabetic nephropathy	250.4	E11.21
D05KZV	VR-461	Fungal infections	110-118	B35-B49
D05LBU	Ticlopidine	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D05LBU-D0V4IB	Itraconazole + Ticlopidine	Pharmacokinetic		
D05LCN	BMP-7 bone morphogenetic protein	Renal disease		N00-N29
D05LCX	A-70276	Gastrointestinal disease		K00-K93
D05LDK	IPX203	Parkinson's disease	332	G20
D05LDQ	BAY 94-9027	Hemophilia; Stroke	286, 434.91, 437.6, 453, 671.5, 671.9	D66-D68, I61-I63, I80-I82
D05LEO	Fluorouracil	Cancer	140-229	C00-C96
D05LEO-D06DWP	2'-Deoxyinosine + Fluorouracil	Colorectal tumor; Colon tumor		C50
D05LEO-D07HOB-D0B6TW	Fluorouracil + Irinotecan + Leucovorin	Colorectal cancer	153, 154	C18-C21
D05LEO-D07HOB-D0B6TW-D0N5OV	Cetuximab + Fluorouracil + Irinotecan + Leucovorin	EGFR expressing metastatic colorectal cancer		C18-C20, C21
D05LEO-D07HOB-D0B6TW-D0R0MW	Fluorouracil + Irinotecan + Leucovorin + Sunitinib	Metastatic colorectal cancer	153, 154	C18-C21
D05LEO-D07VLY-D0CT9C	Cyclophosphamide + Doxorubicin + Fluorouracil	Breast cancer	174, 175	C50
D05LEO-D07VLY-D0U5HU	Cisplatin + Doxorubicin + Fluorouracil	Advanced epidermoid carcinoma		
D05LEO-D0B6TW	Fluorouracil + Leucovorin	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D05LEO-D0B6TW-D0D3DU	Fluorouracil + Leucovorin Calcium + Methotrexate Sodium	Advanced colorectal cancer	153, 154	C18-C21
D05LEO-D0B6TW-D0HU9H-D0Y3ME	Fluorouracil + Leucovorin + Oxaliplatin + Panitumumab	Metastatic colorectal cancer	153, 154	C18-C21
D05LEO-D0B6TW-D0N5OV-D0Y3ME	Cetuximab + Fluorouracil + Leucovorin + Oxaliplatin	Metastatic colorectal cancer	153, 154	C18-C21
D05LEO-D0B6TW-D0O5WP-D0Y3ME	Docetaxel + Fluorouracil + Leucovorin + Oxaliplatin	Gastric cancer	151	C16
D05LEO-D0B6TW-D0Y3ME	Fluorouracil + Leucovorin + Oxaliplatin	Stage II colon cancer		C50
D05LEO-D0C9XJ-D0U5HU	epirubicin + cisplatin + fluorouracil	Breast cancer	174, 175	C50
D05LEO-D0CT9C-D0D3DU	Fluorouracil + Cyclophosphamide + Methotrexate Sodium	Breast cancer	174, 175	C50
D05LEO-D0N5OV	Cetuximab + Fluorouracil	Advanced gastric or gastroesophageal junction adenocarcinoma		C16
D05LEO-D0N5OV-D0U5HU-D0X7HM	Carboplatin + Cetuximab + Cisplatin + Fluorouracil	Squamous cell carcinoma of head and neck	199	C44
D05LEO-D0N5OV-D0X7HM	Carboplatin + Cetuximab + Fluorouracil	Squamous cell carcinoma of head and neck	199	C44
D05LEO-D0O5WP-D0U5HU	Cisplatin + Docetaxel + Fluorouracil	Oropharynx cancer		C10.9
D05LEO-D0O5WP-D0U5HU	Cisplatin + Docetaxel + Fluorouracil	Squamous cell carcinoma of head and neck	199	C44
D05LEO-D0P0WV-D0U5HU	Cisplatin + Fluorouracil + Interferon alfa-2b	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D05LEO-D0R4PS-D0Y3ME	oxaliplatin + folinic acid + fluorouracil	Pancreatic cancer; Colorectal cancer; Rectal cancer; Gastric cancer; Esophageal cancer; Gastrointestinal stromal tumor		C25, C18-C20, C21, C16, C15, C15-C26
D05LEO-D0U5HU	Cisplatin + Fluorouracil	Nasopharyngeal carcinoma	147	C11
D05LEO-D0W5HK	Fluorouracil + Sorafenib	Hepatocellular carcinoma	155	C22.0
D05LGX	Fipamezole	Acute myeloid leukemia	205	C92.0
D05LJK	Fluorovinyloxyacetamide anti-inflammatory drugs	Neurodegenerative disease	330-337	G30-G32
D05LKP	Sulfadiazine	Rheumatic fever; Meningococcal meningitis		R50.9
D05LKP-D0H1GJ	Sulfadiazine + Sulfamerazine	Toxoplasmosis		B58
D05LKP-D0H1GJ-D0V9YR	Sulfadiazine + Sulfamerazine + Sulfamethazine	Toxoplasmosis and other susceptible organisms		B58
D05LKZ	HPP-607	Cancer	140-229	C00-C96
D05LLJ	MK-4815	Malaria		B54
D05LMC	AMG 595	Glioblastoma multiforme	191	C71
D05LOB	FP-1201	Acute lung injury	518	J80
D05LOV	ADV-1002401	Type 2 diabetes	250	E11
D05LOY	ACH-702	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05LPP	ABH001	Liver cancer	140-229, 155, 203.0	C22
D05LPW	DA-1229	Type 2 diabetes	250	E11
D05LQX	BOL-303259-X	Renal cancer	140-229, 189	C64
D05LRD	BMS-933043	Psychiatric disorder	290-319	F01-F99
D05LSB	COX-2 inhibitors	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05LST	Myrcludex B	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05LSY	AKP-020	Type 2 diabetes	250	E11
D05LTJ	ISIS 325568	Type 2 diabetes	250	E11
D05LTY-D0D1SG-D0D3DU	Enbrel + Prednisolone + Methotrexate Sodium	Juvenile chronic polyarthritis		M08
D05LTY-D0D3DU	Enbrel + Methotrexate Sodium	Rheumatoid arthritis	710-719, 714	M05-M06
D05LUT	Molecule 23	Malaria		B54
D05LVL	AVR-147	Cancer	140-229	C00-C96
D05LXC	QA-241	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05LXH	Beta-interferon	Multiple scierosis	340	G35
D05LYC	KR-62436	Non-insulin dependent diabetes		E11.9
D05LYF	Thymalfasin alfa 1	Liver cancer; Melanoma	140-229, 155, 203.0, 172	C22, C43
D05LYN	Benzothiadiazines	Hepacivirus infections	070.4, 070.5, 070.70	B17.1, B18.2
D05LYX	Glibenclamide	Diabetes	253.5, 588.1	E23.2, N25.1
D05LYX-D0D7LA	Glyburide + Metformin	Type 2 diabetes	250	E11
D05LYX-D0D7LA-D0K9MY	Glyburide + Metformin + Saxagliptin	Diabetes	253.5, 588.1	E23.2, N25.1
D05LYX-D0NJ5H	Alogliptin + Glyburide	Type 2 diabetes	250	E11
D05LZG	R-type pyocins	Pseudomonas aeruginosa infection	001-139	B96.5
D05MBE	NK-102	Cerebrovascular ischaemia	434.91	I61-I63
D05MBG	Vaccine, Chagas disease	Trypanosoma cruzi infection		B57.2
D05MBZ	Tamsulosin	Benign prostatic hyperplasia	600	N40
D05MBZ-D0A9YA	Dutasteride + Tamsulosin	Prostatic hyperplasia		N40, C61
D05MBZ-D0A9YA	Dutasteride + Tamsulosin	Symptomatic BPH in men with an enlarged prostate		N40
D05MBZ-D0BZ7W	tolterodine + tamsulosin	Overactive bladder; Lower urinary tract symptoms		N32, R39.9
D05MBZ-D0L4YD	Solifenacin + Tamsulosin	Lower urinary tract symptoms	600	N40
D05MBZ-D0L4YD	Solifenacin + Tamsulosin	Lower urinary tract symptoms	600	N40
D05MBZ-D0L4YD	Solifenacin + Tamsulosin	Overactive bladder	596.51	N32.81
D05MCS	GSK2190915	Asthma		J45
D05MCS-D0L5YV-D0LC6K	GSK2190915 + Salmeterol + Fluticasone	Asthma		J45
D05MCS-D0LC6K	GSK2190915 + Fluticasone	Asthma		J45
D05MDJ	ORG-34517	Depression	311	F30-F39
D05MDQ	CG-701338	Cancer	140-229	C00-C96
D05MEL	PV-705	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E11.40
D05MEP	AE-O	Ovarian cancer	183	C56
D05MEY	Epitinib	Cancer	140-229	C00-C96
D05MFA	Valacyclovir Hydrochloride	Herpes simplex virus infection	54	B00
D05MFA-D0GY5Z	valacyclovir + aspirin	Herpes simplex virus infection	54	B00
D05MFG	Spirapril	Hypertension	401	I10-I16
D05MFO	MDL-11939	Anxiety disorder	300, 311	F32, F40-F42
D05MGQ	MDX-1342	Leukemia	208.9	C90-C95
D05MHI	AC-607	Ischemic heart diseases	410-414	I20-I25
D05MIL	Iopentol	Urinary tract disease		N00-N99
D05MIQ	O-SPC/rBRU vaccine	Shigella sonnei infection		A03.9
D05MKA	Lixisenatide	Type 2 diabetes	250	E11
D05MKA-D0D7LA	Lixisenatide + Metformin	Type 2 diabetes	250	E11
D05MKA-D0D7LA	Lixisenatide + Metformin	Type 2 diabetes	250	E11
D05MKA-D0D7LA-D0R6CD	Insulin glargine + Lixisenatide + Metformin	Type 2 diabetes	250	E11
D05MKG	Nalmefene prodrugs	Alcohol use disorders	303	F10.2
D05MLS	CS 1036	Unspecified		
D05MLX	ONYX-411	Cancer	140-229	C00-C96
D05MNV	Fosclin	Malaria		B54
D05MNW	Virginiamycin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05MOZ	G-202	Solid tumours	140-199, 210-229	C00-D48
D05MPX	Bornaprine	Parkinson's disease	332	G20
D05MQK	Tadalafil	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D05MQK-D08KTT	Sildenafil + Tadalafil	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D05MQO	BEA-005	Cytomegalovirus infection		B25
D05MSG	BMS-694153	Migraine	346	G43
D05MSL	DC-756	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05MSM	CK-37	Cancer	140-229	C00-C96
D05MUA	NOX 2149	Pain; Stress	300, 338,780	F40-F42, R52, G89
D05MVA	RGD-891	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05MWB	UR-10324	Unspecified		
D05MWY	RF-1051	Genetic disease		Q00-Q99
D05MXJ	thrombopoietin antagonist	Unspecified		
D05MXK	GW-473178	Heart arrhythmia		I47-I49
D05MXL	CHDI-003940246	Huntington's disease	294.1, 333.4	F02.2, G10
D05MZI	nusinersen	Spinal muscular atrophy	335.0-335.1	G00-G99
D05NBD	MONTIRELIN TETRAHYDRATE	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05NCT	DPC-1528	Acne vulgaris	706.1	L70.0
D05NDN	Alovudine	Breast cancer	174, 175	C50
D05NDR	Sifalimumab	Advanced renal cell carcinoma	189	C64
D05NDR	Sifalimumab	Systemic lupus erythematosus; Myositis	695, 710.0, 729.1	L51-L54, M32, M60
D05NDW	SAR245409/MSC1936369B combination therapy	Solid tumours	140-199, 210-229	C00-D48
D05NDY	OAP-189	Type 2 diabetes	250	E11
D05NEN	RNA synthesis inhibitors	Cancer	140-229	C00-C96
D05NHT	BP-C1	Breast cancer	174, 175	C50
D05NIO	NP-17	Alzheimer disease	331	G30
