4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
amiloride	SCNN1A
amiloride	SCNN1B
amiloride	SCNN1D
amiloride	SCNN1G
trans-3-(o-tolyloxy)-2,3-dihydro-1h-inden-1-amine	SLC6A2
trans-3-(o-tolyloxy)-2,3-dihydro-1h-inden-1-amine	SLC6A4
trans-3-(o-tolyloxy)-2,3-dihydro-1h-inden-1-amine	SLC6A3
n-(4-bromo-2-methylphenyl)-2-naphthamide	DHODH
uk-371800	PDE5A
7-(3,6,9,12-tetraoxatricos-22-enyl)theophylline	ADORA1
dodecyl-thiophosphate	LPAR2
dodecyl-thiophosphate	LPAR3
8-(3-benzoyl-ureido)-octanoic acid hydroxyamide	HDAC1
2,5-dideoxy-2,5-imino-d-mannitol	MGAM
rxdx 101	NTRK1
rxdx 101	NTRK2
rxdx 101	NTRK3
rxdx 101	ROS1
5,6-dihydroxy-7-nitro-2,3-dihydroinden-1-one	COMT
linagliptin	DPP4
[mpa1, d-tyr(et)2, d-tic7]ot	OXTR
drug 311951	PSEN1
drug 311951	APH1B
drug 311951	PSEN2
drug 311951	PSENEN
drug 311951	APH1A
drug 311951	NCSTN
fencamfamine	DRD2
fencamfamine	SLC6A3
7-ethyl-2-(4-hydroxy-phenyl)-benzooxazol-5-ol	ESR2
7-ethyl-2-(4-hydroxy-phenyl)-benzooxazol-5-ol	ESR1
tcs-ox2-29	HCRTR2
4-hydroxy-n-isopropyl-n-phenylbenzenesulfonamide	ESR1
cp-809101	HTR2C
azd1656	GCK
2-(9-benzyl-9h-purin-6-ylamino)-ethanol	GABRA1
2-(9-benzyl-9h-purin-6-ylamino)-ethanol	GABRG2
2-(9-benzyl-9h-purin-6-ylamino)-ethanol	GABRB2
7-hydroxy-3-(4-hydroxyphenyl)-3h-quinazolin-4-one	ESR2
4-(bis(2-chloroethyl)amino)-n-p-tolylbenzamide	ERBB2
4-(1h-indol-3-yl)-n,n-dimethylcyclohex-3-enamine	SLC6A2
4-(1h-indol-3-yl)-n,n-dimethylcyclohex-3-enamine	SLC6A4
4-(1h-indol-3-yl)-n,n-dimethylcyclohex-3-enamine	SLC6A3
pd-172760	DRD2
de-098	FAS
xt-101	IL10RB
tamoxifen isopropyl bromide	ESR1
isis 28466	SMAD7
l-709780	ITGB3
2-(4-butoxy-phenyl)-n-hydroxy-n-methyl-acetamide	ALOX5
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA6
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA1
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA9
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA2
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA4
5-amino-1,3,4-thiadiazole-2-sulfonamide	CA12
aminooxyacetic acid	CBS
n-(pyridin-4-ylmethyl) estradiol-16-carboxamide	HSD17B1
nefazodone	HTR1A
nefazodone	SLC6A2
nefazodone	HTR2C
nefazodone	SLC6A4
nefazodone	HTR2A
[3h]pd128907	DRD3
4-(4-benzyl-piperazin-1-yl)-5-chloro-1h-indole	DRD2
4-(4-benzyl-piperazin-1-yl)-5-chloro-1h-indole	DRD3
4-(4-benzyl-piperazin-1-yl)-5-chloro-1h-indole	DRD4
pg-530742	MMP3
ala6-srif-14-amide	SSTR2
ala6-srif-14-amide	SSTR4
4-(2,3-dimethoxy-phenoxy)-6,7-dimethoxy-quinoline	PDGFRB
luf-5980	ADORA2A
luf-5980	ADORA2B
luf-5980	ADORA3
luf-5980	ADORA1
n-(4-sulfamoyl-phenyl)-benzamide	CA12
n-(4-sulfamoyl-phenyl)-benzamide	CA2
n-(4-sulfamoyl-phenyl)-benzamide	CA1
n-(4-sulfamoyl-phenyl)-benzamide	CA9
cetilistat	LIPF
1,2,3,4,4a,5-hexahydrophenanthridin-6(10bh)-one	PARP1
sc-52892	AGTR2
crilvastatin	HMGCR
sb-656933	CXCR2
cgp-191	SRC
h-d-phe-c[cys-ala-d-trp-lys-thr-cys]-thr-nh2	SSTR3
h-d-phe-c[cys-ala-d-trp-lys-thr-cys]-thr-nh2	SSTR2
h-d-phe-c[cys-ala-d-trp-lys-thr-cys]-thr-nh2	SSTR5
cid16197121	RCE1
hp-290	ACHE
5-hydroxyvaleric acid	ALAD
4-isothiocyanatobenzenesulfonamide	CA2
4-isothiocyanatobenzenesulfonamide	CA1
n-cyclohexyl-2-phenyl-acetamide	EPHX2
asperlicin	CCKAR
petcm	CASP3
8-(1-methyl-butoxy)-quinolin-2-ylamine	MCHR1
isovanillin	AOX1
a-967079	TRPA1
s-ethylisothiourea	NOS2
4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamine	CDK2
1,2,5-thiadiazolidin-3-one-1,1-dioxide	PTPN1
zk-136798	PGR
kisspeptin-10	KISS1R
6-phenyl-thieno[3,2-d]pyrimidin-4-ylamine	IKBKB
atropine	CHRM4
atropine	CHRM2
atropine	CHRM1
atropine	CHRM5
atropine	CHRM3
win-66306	TACR1
luf-5962	ADORA2A
luf-5962	ADORA3
luf-5962	ADORA1
mel57a	HCN1
grandisine d	OPRD1
bms-695735	IGF1R
bms-695735	FGFR1
2-cyclohexyl-n-phenyl-acetamide	EPHX2
bu-ryyrik-nh2	OPRL1
r-phenserine	ACHE
a61603	ADRA2C
nc-2500	XDH
p-iodoamphetamine	ADORA1
xmetd	INSR
gpd-1116	PDE4A
gpd-1116	PDE4D
gpd-1116	PDE4B
ac-nle-c[asp-his-dnal(2')-pro-trp-lys]-nh2	MC1R
ac-nle-c[asp-his-dnal(2')-pro-trp-lys]-nh2	MC4R
ac-nle-c[asp-his-dnal(2')-pro-trp-lys]-nh2	MC3R
s-(-)cpp	CLCN1
sk&f-96321	PDE5A
isis 104256	RIPK2
isothipendyl	HRH1
mf266-1	PTGER1
coagulation factor ix	F10
443c81	OPRM1
mt-062	EGFR
wx-037	PIK3CG
gsk1004723	HRH1
gsk1004723	HRH3
tinzaparin	SERPINC1
rn486	SLK
tetradecyl-phosphonic acid	LPAR1
n-benzyl-n-isobutylpiperidin-4-amine	SLC6A2
n-benzyl-n-isobutylpiperidin-4-amine	SLC6A4
fce-22716	ADRA1D
fce-22716	HTR2A
compound 11jj	HMGCR
1-iodyl-4-nitro-benzene	PTPN1
2-benzoyl-3-(3,4-dihydroxyphenyl)acrylonitrile	EGFR
5-methoxy-luzindole	MTNR1A
drotaverine	PDE4A
h-tyr-d-ala-gly phe-pro-leu-trp-o-3,5-bzl(cf3)2	TACR1
h-tyr-d-ala-gly phe-pro-leu-trp-o-3,5-bzl(cf3)2	OPRD1
h-tyr-d-ala-gly phe-pro-leu-trp-o-3,5-bzl(cf3)2	OPRM1
ouabain	ATP1A1
4-(2-((dimethylamino)methyl)phenoxy)benzonitrile	SLC6A4
eq-1280	HSD11B1
fggftgarksarklade	OPRL1
5-ethyl-2-(2-(pyrrolidin-1-yl)ethyl)pyridine	HRH3
ro5101576	LTB4R2
pegmusirudin	F2
sb220025	MAPK1
sb220025	MAPK14
tak-683	KISS1R
indol-1-yl-methyl-pyridin-4-yl-amine	ADRA2C
indol-1-yl-methyl-pyridin-4-yl-amine	ADRA2B
indol-1-yl-methyl-pyridin-4-yl-amine	ADRA2A
2-chloro-5-nitro-n-(pyridin-4-yl)benzamide	PPARG
[3h]meta-chlorophenylbiguanide	HTR3A
1-benzhydryl-4-o-tolylpiperidin-4-ol	OPRL1
1-benzhydryl-4-o-tolylpiperidin-4-ol	OPRK1
1-benzhydryl-4-o-tolylpiperidin-4-ol	OPRD1
1-benzhydryl-4-o-tolylpiperidin-4-ol	OPRM1
bof-4272	XDH
bw b70c	ALOX5
nf023	P2RX1
nsc-746457	HDAC1
selexipag	PTGIR
5-hydroxy-1-tosyl-1h-pyrrol-2(5h)-one	CA2
5-hydroxy-1-tosyl-1h-pyrrol-2(5h)-one	CA1
guanethidine	SLC6A2
formononetin	SLC5A2
{4-[4-(4-bromophenoxy)benzoyl]phenyl}acetic acid	SRD5A2
{4-[4-(4-bromophenoxy)benzoyl]phenyl}acetic acid	SRD5A1
toremifene	ESR1
oc-10x	TUBA1C
dihydrokainate	GRIK1
des-aa1,2,5,12,13-[d-trp8]srif	SSTR3
des-aa1,2,5,12,13-[d-trp8]srif	SSTR2
des-aa1,2,5,12,13-[d-trp8]srif	SSTR4
des-aa1,2,5,12,13-[d-trp8]srif	SSTR1
des-aa1,2,5,12,13-[d-trp8]srif	SSTR5
3-(dibutylamino)-1-(4-hexylphenyl)propan-1-one	THRB
3-(dibutylamino)-1-(4-hexylphenyl)propan-1-one	THRA
nocardimicin a	CHRM3
barbiturate	GABRA1
barbiturate	GABRA2
barbiturate	GABRB2
d[arg4,orn8]vp	AVPR1B
d[arg4,orn8]vp	AVPR2
d[arg4,orn8]vp	OXTR
d[arg4,orn8]vp	AVPR1A
esmolol	ADRB1
ephedrine	DRD2
1-(4-iodobenzyl)-1h-imidazole	CYP17A1
cdx-301	FLT3
levomilnacipran	SLC6A2
levomilnacipran	SLC6A4
tug-424	FFAR1
epi-0030	KDR
benzyloxycarbonyl-glycylryanodine	RYR1
calcium-sensing receptor antagonists	CASR
tetrahydroquinoline b	CETP
4'-(2-butylbenzofuran-3-yl)biphenyl-4-ol	PTPN1
3,4'-(1h-1,2,4-triazole-3,5-diyl)dipyridine	XDH
punicafolin	PRKCA
punicafolin	PRKCB
lidocaine	SCN10A
lidocaine	SCN5A
lidocaine	SCN9A
gossypetin	CYP19A1
ibodutant	TACR2
dexamethasone	NR3C1
l-5-iodo-2'-deoxyuridine	TK1
2-p-tolyl-4h-chromene-4-thione	MAOB
2-(1h-indol-3-ylmethyl)-1,2-dihydro-indazol-3-one	ALOX5
jwh-307	CNR1
jwh-307	CNR2
codeinone	OPRM1
mq1	MCHR1
c[rgdf-(s,r)-alpha-dfm-f]	ITGAV
c[rgdf-(s,r)-alpha-dfm-f]	ITGB3
ru78783	SRC
dalteparin sodium	F10
eg-016	VEGFD
win-35065	SLC6A4
win-35065	SLC6A3
antaq	NPEPPS
5-biphenyl-4-ylmethyl-2-isobutyl-2h-tetrazole	CNR1
5-biphenyl-4-ylmethyl-2-isobutyl-2h-tetrazole	CNR2
naftifine	SQLE
mk-2637	SLC6A9
enmd-1198	HIF1A
2mesatp	P2RY1
2mesatp	P2RY11
2mesatp	P2RY13
2mesatp	P2RY6
pup-1	MMP12
et bromodomain inhibitor	BRD2
4-(ethylthio)-6-phenyl-1,3,5-triazin-2-amine	ADORA2A
4-(ethylthio)-6-phenyl-1,3,5-triazin-2-amine	ADORA1
mteron-f1	MET
9-(3-aminopropoxy)-7h-furo[3,2-g]chromen-7-one	MAOA
gnf-pf-78	NCOA3
gnf-pf-78	S1PR1
(r)-3-propyl-[1,4]thiazepan-(5e)-ylideneamine	NOS1
(r)-3-propyl-[1,4]thiazepan-(5e)-ylideneamine	NOS2
epc-k1	PLA2G1B
ag140699	PARP1
3-(3-(3-chlorobenzyloxy)-5-methylphenyl)pyridine	GRM5
alpha-hydroxyfarnesylphosphonic acid	FNTB
uvaol	PTPN1
gw-9662	PPARG
4-[(diphenylmethyl)amino]-2-phenylquinazoline	AGTR1
imetit	HRH3
imetit	HRH4
compound 11q	GRM1
4-(2-(1h-indol-6-yl)-9h-purin-6-yl)morpholine	MTOR
amg 386	ANGPT2
amg 386	ANGPT1
ezn-4176	AR
biib-024	RAF1
biib-024	BRAF
arecoline	CHRM1
2-amino-5-(n-nitro-guanidino)-pentanoic acid	NOS1
2-amino-5-(n-nitro-guanidino)-pentanoic acid	NOS3
2-amino-5-(n-nitro-guanidino)-pentanoic acid	NOS2
triflupromazine	CHRM2
triflupromazine	CHRM1
triflupromazine	DRD2
triflupromazine	DRD1
triflupromazine	HTR2B
petrosaspongiolide m	PLA2G1B
gnf-pf-3832	AGTR1
1,4-dideoxy-5-dehydro-o2-sulfo-glucuronic acid	FGF2
tt-173	F3
anatibant	BDKRB2
glpg-0492	AR
diethylstilbestrol	ESR2
diethylstilbestrol	ESR1
diethylstilbestrol	ESRRG
relacatib	CTSK
6-methoxy-1,9-dimethyl-9h-pyrido[3,4-b]indole	BCHE
6-methoxy-1,9-dimethyl-9h-pyrido[3,4-b]indole	ACHE
qneqcpqvsac	SLC5A1
eplerenone	NR3C2
compound 8e	LTK
compound 8e	FES
compound 8e	FER
compound 8e	NTRK2
compound 8e	ROS1
2,3-dihydro-1h-isoindole	ADRA2C
2,3-dihydro-1h-isoindole	ADRA2B
2,3-dihydro-1h-isoindole	ADRA2A
j-104135	CHRM3
of-1	BRPF1
of-1	BRD1
n'-(phenylsulfonyl)quinoline-6-carbohydrazide	BCAT2
amn082	GRM7
4-benzyl-1-indan-2-ylmethyl-piperidine	DRD2
1-((9h-fluoren-2-yl)methyl)-1h-imidazole	CYP17A1
bibx-79	LSS
1-(bis-biphenyl-4-yl-methyl)-1h-imidazole	CYP17A1
[1,4]thiazepan-(5e)-ylideneamine	NOS1
[1,4]thiazepan-(5e)-ylideneamine	NOS3
[1,4]thiazepan-(5e)-ylideneamine	NOS2
lesopitron dihydrochloride	HTR1A
3-(6-methoxynaphthalen-2-yl)-4-methylpyridine	CYP11B1
asg-15me	SLITRK6
2-methyl-4-(3-thienylethynyl)thiazole	GRM5
isis 29469	PDPK1
bryostatin-1	PRKCE
dyclonine	SCN10A
dyclonine	SCN5A
aldisin	MAP2K1
brivanib	KDR
akt inhibitors [pmcid:pmc3086120]	AKT1
glycopyrronium	CHRM1
s-33138	DRD3
alprazolam	GABRD
alprazolam	GABRG3
alprazolam	GABRG2
alprazolam	GABRA1
alprazolam	GABRG1
alprazolam	GABRA4
alprazolam	GABRA2
alprazolam	GABRE
alprazolam	GABRP
alprazolam	GABRB3
alprazolam	GABRQ
alprazolam	GABRA5
alprazolam	GABRA3
alprazolam	GABRA6
alprazolam	GABRB1
alprazolam	TSPO
alprazolam	GABRB2
n*6*-cyclohexyl-n*2*-ethyl-9h-purine-2,6-diamine	ADORA3
n*6*-cyclohexyl-n*2*-ethyl-9h-purine-2,6-diamine	ADORA1
tki258	FGFR3
2-(4-phenoxy-phenyl)-1h-benzoimidazol-5-ylamine	CHEK2
as95	ADORA2B
ica-17043	KCNN4
1-(2-nitrophenethyl)-1h-pyrrolo[3,2-b]pyridine	MET
piperidine-1-carboxamidine	PRSS1
pyridine	TBXAS1
cmi-977	ALOX5
5-amino-3-(n-methylpiperidin-4-yl)-1h-indole	HTR1B
5-amino-3-(n-methylpiperidin-4-yl)-1h-indole	HTR1D
9-benzyl-6-(4-fluoro-phenylsulfanyl)-9h-purine	MAPK14
mizolastine	HRH1
subalin	IFNA2
bts-67582	ABCC9
6-m-tolyl-pteridine-2,4,7-triamine	PDF
6-m-tolyl-pteridine-2,4,7-triamine	DHFR
dapagliflozin	SLC5A2
antide	GNRHR
sb-332235	CXCR2
d[orn4]avp	AVPR1B
d[orn4]avp	AVPR2
d[orn4]avp	OXTR
d[orn4]avp	AVPR1A
2-(7-phenylheptanoyl)oxazole-4-carboxylic acid	FAAH
exo-230	PTGS1
ncfp	GRM5
isatin	MAOB
valrubicin	TOP2A
valrubicin	TOP2B
bms-a	CCR2
3,3-diethyl-dihydro-furan-2-one	GABRA1
3,3-diethyl-dihydro-furan-2-one	GABRG2
3,3-diethyl-dihydro-furan-2-one	GABRB2
2-(2-bromophenylthio)-n,n-dimethylethanamine	HTR7
fpl-64170	ALOX5
2-(4-phenyl-butyl)-1,2-dihydro-indazol-3-one	ALOX5
[18f]fp-tztp	CHRM1
skf-83959	DRD1
4-biphenyl-2-ylethynyl-6,7-dimethoxy-quinazoline	EGFR
2-morpholino-7-phenyl-4h-chromen-4-one	PDE3A
n-(pentafluorophenyl)sulfamide	CA12
n-(pentafluorophenyl)sulfamide	CA2
n-(pentafluorophenyl)sulfamide	CA1
n-(pentafluorophenyl)sulfamide	CA9
4-imidazol-1-ylmethyl-1-nitro-xanthen-9-one	CYP19A1
rft-5.dga	IL2RA
hs014	MC4R
tegaserod	HTR4
fx-007	NTRK1
esreboxetine	SLC6A2
3-cyano-5-fluoro-n-(pyridin-2-yl)benzamide	GRM5
helenaquinone	PLA2G1B
salvinorin b 2-methoxy-2-propyl ether	OPRK1
delta12-pgj2	PTGDR
delta12-pgj2	PTGDR2
6-(biphenyl-2-sulfonyl)-2h-pyridazin-3-one	AKR1B1
9h-beta-carboline-3-carboxylic acid propyl ester	GABRA1
9h-beta-carboline-3-carboxylic acid propyl ester	GABRG2
vu0155041	GRM4
nnc 11-1314	CHRM1
nnc 11-1314	CHRM3
6-(4-(3-(benzylamino)propyl)phenoxy)nicotinamide	OPRK1
6-(4-(3-(benzylamino)propyl)phenoxy)nicotinamide	OPRD1
6-(4-(3-(benzylamino)propyl)phenoxy)nicotinamide	OPRM1
hf-0220	HPGDS
2-ethylamido-5-sulfonamidoindane	CA2
2-ethylamido-5-sulfonamidoindane	CA1
2-ethylamido-5-sulfonamidoindane	CA9
silymarin	ALOX5
agn-199981	ADRA2B
ub-311	APP
acaa	TRPM2
acaa	TRPC6
acaa	TRPC3
levocetirizine	HRH1
3-(2-carboxy-5-mercaptopentyl)benzoic acid	FOLH1
polybrominated diphenyl ether derivative	ALOX15
polybrominated diphenyl ether derivative	ALOX12
n-methyl-ssr504734	SLC6A9
[123i]am251	CNR1
compound 77	CDK18
compound 77	CDC7
imrecoxib	PTGS2
imrecoxib	PTGS1
(8-hydroxy-2-oxo-2h-quinolin-1-yl)-acetic acid	AKR1B1
brevarex mab	MUC1
1,4-diethylene dioxide	TNFSF13B
mr-889	ELANE
(s)-2-(2-(2-methylpyrrolidin-1-yl)ethyl)phenol	HRH3
exp3174	AGTR1
etizolam	GABRA1
etizolam	GABRA2
etizolam	GABRA3
etizolam	GABRG2
2-(3''-(6''-bromo-indolyl)ethyloxy)adenosine	ADORA2A
2-(3''-(6''-bromo-indolyl)ethyloxy)adenosine	ADORA3
2-(3''-(6''-bromo-indolyl)ethyloxy)adenosine	ADORA1
nsc-339580	NQO1
dilazep	SLC29A1
sdz-64-412	PTAFR
imagabalin	CACNA2D1
imagabalin	CACNG1
3-benzyl-5-isopropyl-8-methylchromen-2-one	CNR1
3-benzyl-5-isopropyl-8-methylchromen-2-one	CNR2
h-dmt-tic-nh-ch[(ch2)4-nh-z]-bid	OPRD1
h-dmt-tic-nh-ch[(ch2)4-nh-z]-bid	OPRM1
nsc-640558	NQO2
ox-914	PDE4A
ox-914	PDE4D
ox-914	PDE4B
1-[4-(benzothiazol-2-yloxy)benzyl]piperidin-4-ol	LTA4H
ifetroban sodium	TBXA2R
manzamine y	GSK3B
nsc-527035	ALDH3A2
4-(3,4-dihydro-1h-isoquinolin-2-yl)-quinoline	ADRA1D
4-(3,4-dihydro-1h-isoquinolin-2-yl)-quinoline	ADRA1A
4-(3,4-dihydro-1h-isoquinolin-2-yl)-quinoline	GRIN1
4-(3,4-dihydro-1h-isoquinolin-2-yl)-quinoline	ADRA1B
4-(3,4-dihydro-1h-isoquinolin-2-yl)-quinoline	GRIN2B
sb-410220	HCRTR1
cis-2-(para-fluorophenyl)cyclopropylamine	MAOB
vx-702	MAPK14
mallotinic acid	SQLE
elinogrel	P2RY12
pf-18298	SLC6A2
pf-18298	SLC6A4
pf-18298	SLC6A3
2-benzyl-3-phenyl-7-(trifluoromethyl)-2h-indazole	NR1H3
2-benzyl-3-phenyl-7-(trifluoromethyl)-2h-indazole	NR1H2
azilsartan	AGTR1
masoprocol	ALOX5
masoprocol	ERBB2
5-amino-3,4-dihydroisoquinolin-1(2h)-one	PARP1
fluorouracil	TYMS
l-741671	TACR1
3-butoxycarbonyl-4-quinolone	GABRA1
3-butoxycarbonyl-4-quinolone	GABRG2
3-butoxycarbonyl-4-quinolone	GABRB2
lf-984	TGFBR1
3-benzyl-3-methyl-1-phenylazetidine-2,4-dione	ELANE
2-(2-bromophenoxy)-n,n-dimethylethanamine	HTR7
1-(4-nitrophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A2
1-(4-nitrophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A4
1-(4-nitrophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A3
isis 104253	RIPK2
4-amino-3-benzofuran-2-yl-butyric acid	GABBR2
(2s)-2-(4-ethylphenoxy)-3-phenylpropanoic acid	PPARG
n-[2-(5-hydroxy-1h-indol-3-yl)ethyl]linoleamide	TRPV1
1-adamantan-1-yl-3-(3-hexyloxypropyl)urea	EPHX2
mitiglinide	ABCC8
mitiglinide	KCNJ10
isis 32014	PIK3CB
3-pyridin-4-yl-quinolin-7-ol	PDGFRA
3-pyridin-4-yl-quinolin-7-ol	PDGFRB
gs-9901	PIK3CD
muromonab	CD3D
muromonab	CD247
muromonab	CD3G
muromonab	CD3E
h-phe-phe-nh2	TACR1
nn-1218	INSR
gsk269962a	ROCK1
gsk269962a	ROCK2
tln-4601	TSPO
n,n-dipropyl-1'h-phenothiazine-1'-carboxamide	BCHE
axitirome	THRB
isis 113176	STAT3
3,6-bis(dmt-tic-nh-ethyl)-2(1h)-pyrazinone	OPRD1
3,6-bis(dmt-tic-nh-ethyl)-2(1h)-pyrazinone	OPRM1
abloid	APP
4-arylphthalazin-1(2h)-3,4-di-f	MCHR1
banoxantrone	TOP2A
banoxantrone	TOP2B
sphingosome encapsulated vinorelbine	TUBB
hirufaxin	F10
parathyroid hormone	PTH2R
2-(3-chloro-4-hydroxy-phenyl)-benzooxazol-6-ol	ESR2
2-(3-chloro-4-hydroxy-phenyl)-benzooxazol-6-ol	ESR1
3-chloro-4-hydrazino-benzenesulfonamide	CA2
3-chloro-4-hydrazino-benzenesulfonamide	CA1
3-chloro-4-hydrazino-benzenesulfonamide	CA9
sc-560	PTGS1
vorsetuzumab mafodotin	CD70
4-amino-biphenyl-3-carboxylic acid amide	IKBKB
noraristeromycin	AHCY
(e)-3-(4-(4-phenoxybenzoyl)phenyl)acrylic acid	SRD5A2
(e)-3-(4-(4-phenoxybenzoyl)phenyl)acrylic acid	SRD5A1
rp-69758	CCKBR
3,4,5,6-tetrachloro-[1,2]benzoquinone	BCHE
3,4,5,6-tetrachloro-[1,2]benzoquinone	ACHE
3,4,5,6-tetrachloro-[1,2]benzoquinone	CES1
2-pyridin-2-yl-6h-pyrazolo[1,5-c]quinazolin-5-one	GABRA1
pd-167341	CACNA1B
zk-114043	PGR
gly-515n	EPO
gantofiban	ITGB3
gantofiban	ITGA2B
fggftgarksarkkwnq	OPRL1
1-(1,2-diphenylethyl)piperazine	SLC6A2
1-(1,2-diphenylethyl)piperazine	SLC6A4
anti-d	DRD2
mecamylamine	CHRNA2
quinapril analogue	BDKRB2
(3-bromo-propyl)-trimethyl-ammonium	ACHE
kaempferol-3-o-methyl ether	CYP2D6
dichlorphenamide	CA1
compound 2f	GRM1
compound 2f	HMGCR
6-n-octylaminouracil	GPR84
rg7458	MUC16
ripazepam	GABRA1
isis 109352	PRKCQ
a-75998	GNRHR
(r)-n-hydroxy-2-(4-isobutyl-phenyl)-propionamide	CXCR2
(r)-n-hydroxy-2-(4-isobutyl-phenyl)-propionamide	CXCR1
ds-437	PRMT5
ds-437	PRMT7
anti-cd137	TNFRSF9
hap-ifn	IFNA2
isis 107792	PTPN1
jmv 1719	GRPR
xmt-1191	METAP2
4-iodo-1h-indazole	NOS1
gi-270384x	SELE
gi-270384x	ICAM1
ro-23-7553	VDR
nafarelin	GNRHR2
nafarelin	GNRHR
sch-44342	FNTB
chlormerodrin	ALDH5A1
chlormerodrin	SLC12A1
ccdc 710249, hcl salt	OPRK1
ccdc 710249, hcl salt	OPRD1
ccdc 710249, hcl salt	OPRM1
sodium ferric gluconate complex	HBB
sodium ferric gluconate complex	FTL
1-(3-hydroxyphenyl)-4-propylpiperazine	DRD2
bph-252	GGPS1
chf-2819	BCHE
chf-2819	ACHE
l-698544	GABRA1
l-698544	GABRA2
l-698544	GABRB2
4,6-dichloro-1h-indole-2,3-dione	CES1
azd2014	MTOR
idrapril	ACE
n-(3,5-dimethylphenyl)-n'-hydroxyoctanediamide	HDAC1
3,6,9,12,15,18-hexaoxaicosane	PIN1
imc-eb10	FLT3
phosphonoserine	RHO
phosphonoserine	PYGM
phosphonoserine	PRKCQ
phosphonoserine	PDPK1
4-(7-chloro-1-cyclohexyl-1h-indazol-3-yl)phenol	ESR1
pf-2413873	PGR
stargen	ABCA4
isosorbide-2-benzylcarbamate-5-tosylate	ACHE
nv-52	TBXAS1
jmv458	NTSR1
jmv458	NTSR2
gp-3269	ADK
ethionine	CACNA2D1
ethionine	CACNG1
ard-412	OPRD1
5-(dimethylamino)-2-naphthalenesulfonic acid	PLAT
methyl3beta-hydroxyolean-12-en-27-oate	PTPN1
1-(3-phenylallylidene)thiosemicarbazide	TYR
alfaferone	IFNA8
kaempferide	CYP1B1
sph-1285	ACHE
prx-08066	HTR2B
beta-naphthylboronic acid	CA2
beta-naphthylboronic acid	CA1
pnu156804	JAK3
1-(isoquinolin-5-yl)-3-(4-morpholinobenzyl)urea	TRPV1
npy y5 antagonists	NPY5R
ono-5334	CTSK
plasma derived factor viii pegylated liposomal	F8
sar-arg-val-tyr-ile-his-pro-ala	AGTR2
3-methyl-9h-beta-carboline	GABRA1
3-methyl-9h-beta-carboline	GABRG2
3-methyl-9h-beta-carboline	GABRB2
ono-9780307	LPAR1
1,4-diphenyl-(1e,3e)-1,3-butadiene	MAOB
gri977143	LPAR2
1-cyclohexyl-3-(1-propionylpiperidin-4-yl)urea	EPHX2
a-331440	HRH3
ancrod	PROC
gnf-pf-2307	AGTR1
1-(2-(naphthalen-2-yl)-1-phenylethyl)piperazine	SLC6A4
4-(3,5-dimethoxyphenethyl)benzenamine	CYP19A1
nsc-275420	NQO1
mm 11253	RARG
rt3	THRB
rt3	THRA
isis 29219	PDPK1
orm-12741	ADRA2C
ips-01003	EGFR
ellagic acid	HSF1
ellagic acid	CA6
ellagic acid	SQLE
ellagic acid	GSK3B
ellagic acid	CA9
ellagic acid	CA1
ellagic acid	CSNK2A1
ellagic acid	CA2
ellagic acid	CA4
ellagic acid	CA12
ellagic acid	SYK
(sar)wtlnsagyllgpkk(lys-palmitoyl)k	GALR1
(sar)wtlnsagyllgpkk(lys-palmitoyl)k	GALR2
mequitazine	HRH1
2-thiazol-5-ylmethyl-1,2-dihydro-indazol-3-one	ALOX5
compound j	BACE2
su11274	MET
5-(2-(3,5-difluorophenyl)ethynyl)pyrimidine	GRM5
ron mab	MST1R
gsk-1070806	IL18
1(beta)-o-galloylpedunculagin	SQLE
8-(3-methoxybenzyloxy)caffeine	MAOA
8-(3-methoxybenzyloxy)caffeine	MAOB
td-8954	HTR4
2-(4-ethylthiobenzimidazol-2-yl)quinoxaline	ADORA2A
2-(4-ethylthiobenzimidazol-2-yl)quinoxaline	ADORA3
2-(4-ethylthiobenzimidazol-2-yl)quinoxaline	ADORA1
lithocholylcholine	CHRM1
lithocholylcholine	CHRM3
4-(1h-indol-5-ylamino)-5-styrylnicotinonitrile	PRKCQ
isis 156473	IRAK4
rotigotine	DRD3
rotigotine	DRD2
rotigotine	DRD4
plx-4720	KDR
plx-4720	BRAF
3-(furan-3-yl)-1-methyl-1h-indole	IMPDH2
salvinorin b 2,2,2-trifluoroethoxymethyl ether	OPRK1
ceplene/peg-intron/rebetol	IFNAR1
radiolabeled octreotide derivative	SSTR3
radiolabeled octreotide derivative	SSTR2
radiolabeled octreotide derivative	SSTR4
radiolabeled octreotide derivative	SSTR5
[3h]muscimol	GABRA5
[3h]muscimol	GABRA3
[3h]muscimol	GABRA2
brx-005	HSF1
bci-632	GRM3
r-1663	F10
gsk2586881	ACE2
4-(4-chlorobenzyl)-2-allylphthalazin-1(2h)-one	ADRA1A
