DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00757,Dolasetron,115956-12-2,SmallMoleculeDrug,C07866,,3033818,46505209,,PA449390,,,,,11445,http://www.rxlist.com/cgi/generic2/dolaset.htm,,Dolasetron,http://www.drugs.com/cdi/dolasetron.html,,30845229,50451546,DAP000368
DB00758,Clopidogrel,113665-84-2,SmallMoleculeDrug,,D00769,60606,46507295,37941,PA449053,CGE,,,,11795,http://www.rxlist.com/cgi/generic/clopidog.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/pla1338.shtml,Clopidogrel,http://www.drugs.com/cdi/clopidogrel.html,,54632,50318910,DAP000178
DB00759,Tetracycline,60-54-8,SmallMoleculeDrug,C06570,D00201,54675776,46506693,27902,PA451640,TAC,,,,8683,http://www.rxlist.com/cgi/generic2/tetcycl2.htm,,Tetracycline,http://www.drugs.com/tetracycline.html,,10257122,,DAP001527
DB00760,Meropenem,119478-56-7,SmallMoleculeDrug,,D02222,441130,46504928,43968,PA164764445,MEM,,,,41,http://www.rxlist.com/cgi/generic2/meropen.htm,,Meropenem,http://www.drugs.com/cdi/meropenem.html,,389924,,DAP000441
DB00761,Potassium Chloride,7447-40-7,SmallMoleculeDrug,,D02060,4873,46506038,32588,PA451055,,,,,53; 11393; 4608,http://www.rxlist.com/cgi/generic4/microk-ls.htm,,Potassium_Chloride,http://www.drugs.com/potassium_chloride.html,,4707,,DAP000828
DB00762,Irinotecan,97682-44-5,SmallMoleculeDrug,C16641,D08086,60838,46505871,80630,PA450085,CP0,,,,11461; 22885,http://www.rxlist.com/cgi/generic2/irinot.htm,,Irinotecan,http://www.drugs.com/cdi/irinotecan.html,,54825,50128267,DAP001339
DB00763,Methimazole,60-56-0,SmallMoleculeDrug,C07190,D00401,1349907,46506536,50673,PA450422,MMZ,,,,14593,http://www.rxlist.com/cgi/generic3/methim.htm,,Methimazole,http://www.drugs.com/cdi/methimazole.html,,1131173,50241361,DNC001429
DB00764,Mometasone,105102-22-5,SmallMoleculeDrug,C07816,D08227,441335,46505288,6970,PA450541,MOF,,,,7504,http://www.rxlist.com/cgi/generic2/momet1.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/nas1518.shtml,Mometasone,http://www.drugs.com/cdi/mometasone-spray.html,,390090,,DAP001042
DB00765,Metyrosine,672-87-7,SmallMoleculeDrug,C07921,D00762,441350,46506079,6912,PA450487,,,,,"",http://www.rxlist.com/cgi/generic2/metyrosine.htm,,,http://www.drugs.com/cdi/metyrosine.html,,390103,,DAP000471
DB00766,Clavulanate,58001-44-8,SmallMoleculeDrug,C06662,,5280980,46508845,48947,PA164742987,J01,,,,11247,,,Clavulanate,,,4444466,50021959,DAP000948
DB00767,Benzquinamide,63-12-7,SmallMoleculeDrug,,D00243,2342,46506155,27662,PA164749018,,,,,"",,,,,,2252,,DAP000713
DB00768,Olopatadine,113806-05-6,SmallMoleculeDrug,C07789,,5281071,46506025,,PA450698,,,,,11561,http://www.rxlist.com/cgi/generic2/olopat.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/pat1633.shtml,Olopatadine,http://www.drugs.com/cdi/olopatadine-spray.html,,4444528,50002096,DAP001062
DB00769,Hydrocortamate,76-47-1,SmallMoleculeDrug,,,84088,46509076,50851,PA164745515,,,,,"",,,,,,75860,,DAP001187
DB00770,Alprostadil,745-65-3,SmallMoleculeDrug,C04741,D00180,149351,46508029,15544,PA448334,XPG,,,,7335,http://www.rxlist.com/cgi/generic/alprostadil.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/cav1073.shtml,Alprostadil,http://www.drugs.com/cdi/alprostadil.html,,4444306,50101853,DAP001490
DB00771,Clidinium,7020-55-5,SmallMoleculeDrug,C07853,,2784,46507814,3743,PA164781044,,,,,6301,,,Clidinium,http://www.drugs.com/mtm/clidinium.html,,26330531,50055977,DAP001117
DB00772,Malathion,121-75-5,SmallMoleculeDrug,C07497,D00534,4004,46505287,6651,PA164748092,,,,,"",http://www.rxlist.com/cgi/generic3/ovide.htm,,Malathion,http://www.drugs.com/cdi/malathion.html,,3864,85372,DAP000895
DB00773,Etoposide,33419-42-0,SmallMoleculeDrug,C01576,D00125,36462,46505434,4911,PA449552,EVP,,,,1998,http://www.rxlist.com/cgi/generic2/etopophos.htm,,Etoposide,http://www.drugs.com/cdi/etoposide.html,,33510,50127140,DAP000786
DB00774,Hydroflumethiazide,135-09-1,SmallMoleculeDrug,C07763,D00654,3647,46505220,5784,PA164752557,HFZ,,,,"",http://www.rxlist.com/cgi/generic2/hydroflumethiazide.htm,,,,,3521,25897,DAP000747
DB00775,Tirofiban,144494-65-5,SmallMoleculeDrug,C07965,,60947,46504678,9605,PA451698,AGG,,,,11752,http://www.rxlist.com/cgi/generic/tiro.htm,,Tirofiban,http://www.drugs.com/cdi/tirofiban.html,,54912,50004058,DAP000696
DB00776,Oxcarbazepine,28721-07-5,SmallMoleculeDrug,C07492,D00533,34312,46507580,7824,PA450732,,,,,11984,http://www.rxlist.com/cgi/generic3/oxcarbazepine.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tri1563.shtml,Oxcarbazepine,http://www.drugs.com/cdi/oxcarbazepine.html,,31608,34179,DAP000528
DB00777,Propiomazine,362-29-8,SmallMoleculeDrug,C07405,D02361,4940,46506205,8491,PA164778685,,,,,"",,,Propiomazine,,,4771,,DAP000327
DB00778,Roxithromycin,80214-83-1,SmallMoleculeDrug,C13173,D01710,6915744,46507676,48935,PA164750505,ROX,,,,"",,,Roxithromycin,,,5291557,,DAP000885
DB00779,Nalidixic Acid,389-08-2,SmallMoleculeDrug,C05079,D00183,4421,46507401,100147,PA164746384,NIX,,,,6509,http://www.rxlist.com/cgi/generic2/nalidixicacid.htm,,,http://www.drugs.com/cdi/nalidixic-acid.html,,4268,21691,DAP000817
DB00780,Phenelzine,51-71-8,SmallMoleculeDrug,C07430,D08349,3675,46507348,8060,PA450903,,,,,11355,http://www.rxlist.com/cgi/generic2/phenelzine.htm,,Phenelzine,http://www.drugs.com/cdi/phenelzine.html,,3547,50105417,DAP000578
DB00781,Polymyxin B Sulfate,1405-20-5,SmallMoleculeDrug,C11613,D01066,4868,46507302,,PA451027,,,,,8520; 8519,http://www.rxlist.com/cgi/generic3/polymyxin.htm,,Polymyxin_B,http://www.drugs.com/mtm/polymyxin-b-ophthalmic.html,,4702,,DAP001323
DB00782,Propantheline,298-50-0,SmallMoleculeDrug,C07506,,4934,46507187,8481,PA164746224,,,,,9559,,,Propantheline,http://www.drugs.com/cdi/propantheline.html,,4765,,DAP001123
DB00783,Estradiol,50-28-2,SmallMoleculeDrug,C00951,D00105,5757,46508115,16469,PA449503,EST,,,,7423; 7419; 7425; 7420; 7411,http://www.rxlist.com/cgi/generic3/estrogel.htm,,Estradiol,http://www.drugs.com/estradiol.html,,5554,17292,DAP000854
DB00784,Mefenamic acid,61-68-7,SmallMoleculeDrug,C02168,D00151,4044,46505405,6717,PA450347,ID8,,,,10002,http://www.rxlist.com/cgi/generic3/mefenamic.htm,,Mefenamic_acid,http://www.drugs.com/cdi/mefenamic-acid.html,,3904,50134036,DAP000779
DB00785,Cryptenamine,1356-18-9,SmallMoleculeDrug,,,,46507822,,PA164749510,,,,,"",,,,,,,,DAP000479
DB00786,Marimastat,154039-60-8,SmallMoleculeDrug,,,119031,46505547,50662,PA164748329,097,,,,"",,,Marimastat,,,106358,50063917,DCL000005
DB00787,Aciclovir,59277-89-3,SmallMoleculeDrug,C06810,D00222,2022,46506002,2453,PA448045,AC2,,,,1950,http://www.rxlist.com/cgi/generic/acyclo.htm,,Aciclovir,http://www.drugs.com/acyclovir.html,,1945,50021776,DNC000157
DB00788,Naproxen,22204-53-1,SmallMoleculeDrug,C01517,D00118,156391,46505508,7476,PA450595,NPS,,,,2037; 2414,http://www.rxlist.com/cgi/generic/naproxsod.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/ana1021.shtml,Naproxen,http://www.drugs.com/naproxen.html,,137720,50339185,DAP000968
DB00789,Gadopentetate dimeglumine,86050-77-3,SmallMoleculeDrug,,D01707,55466,46504878,31797,PA164748760,,,,,885,http://www.rxlist.com/cgi/generic4/magnevist.htm,,Gadopentetate_dimeglumine,http://www.drugs.com/cdi/gadopentetate-dimeglumine.html,,50087,,
DB00790,Perindopril,82834-16-0,SmallMoleculeDrug,C07706,D03753,107807,46508767,8024,PA450877,,,,,232; 16100,http://www.rxlist.com/cgi/generic/aceon.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/ace1543.shtml,Perindopril,http://www.drugs.com/cdi/perindopril.html,,96956,,DNC001114
DB00791,Uracil mustard,66-75-1,SmallMoleculeDrug,C11686,D06265,6194,46506168,9884,PA451830,,,,,"",,,Uracil_mustard,,,5959,,DAP000990
DB00792,Tripelennamine,91-81-6,SmallMoleculeDrug,C07180,,5587,46506125,9741,PA164764429,,,,,20364,,,Tripelennamine,http://www.drugs.com/mtm/tripelennamine.html,,5385,81471,DAP000328
DB00793,Haloprogin,777-11-7,SmallMoleculeDrug,,D00339,3561,46504892,5614,PA164768737,,,,,"",,,Haloprogin,http://www.drugs.com/mtm/haloprogin-topical.html,,3440,50194601,DAP001332
DB00794,Primidone,125-33-7,SmallMoleculeDrug,C07371,D00474,4909,46507775,8412,PA451105,,,,,8265,http://www.rxlist.com/cgi/generic2/primid.htm,,Primidone,http://www.drugs.com/cdi/primidone.html,,4740,,DAP000678
DB00795,Sulfasalazine,599-79-1,SmallMoleculeDrug,C07316,D00448,5359476,46505451,9334,PA451547,SAS,,,,8138,http://www.rxlist.com/cgi/generic/sulfasal.htm,,Sulfasalazine,http://www.drugs.com/cdi/sulfasalazine.html,,10605946,50103596,DAP000153
DB00796,Candesartan cilexetil,145040-37-5,SmallMoleculeDrug,,,2540,46508342,3348,,,,,,11814,http://www.rxlist.com/cgi/generic/candesar.htm,,Candesartan,http://www.drugs.com/cdi/candesartan.html,,2444,50318907,DAP001442
DB00797,Tolazoline,59-98-3,SmallMoleculeDrug,C07147,,5504,46505641,28502,PA451716,,,,,6010,,,Tolazoline,,,5303,55436,DAP000477
DB00798,Gentamicin,1403-66-3,SmallMoleculeDrug,C00505,,3467,46506523,17833,PA449753,,,,,8632; 8630,http://www.rxlist.com/cgi/generic2/pedgenta.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/gar1187.shtml,Gentamicin,http://www.drugs.com/cdi/gentamicin-drops.html,,3348,,DAP000116
DB00799,Tazarotene,118292-40-3,SmallMoleculeDrug,C12531,D01132,5381,46508992,32184,PA164746821,,,,,11373,http://www.rxlist.com/cgi/generic3/avage.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/taz1429.shtml,Tazarotene,http://www.drugs.com/cdi/tazarotene-cream.html,,5188,50265951,DAP000462
DB00800,Fenoldopam,67227-56-9,SmallMoleculeDrug,C07693,D00613,3341,46504963,5002,PA164784034,,,,,"",http://www.rxlist.com/cgi/generic3/fenoldopam.htm,,Fenoldopam,,,3224,60917,DAP000254
DB00801,Halazepam,23092-17-3,SmallMoleculeDrug,,D00338,31640,46508415,5603,PA164746526,,,,,"",,,Halazepam,http://www.drugs.com/mtm/halazepam.html,,29343,50408018,DAP000679
DB00802,Alfentanil,71195-58-9,SmallMoleculeDrug,C08005,,51263,46505618,2569,PA448084,,,,,11173,http://www.rxlist.com/cgi/generic2/alfent.htm,,Alfentanil,,,46451,83450,DAP001134
DB00803,Colistin,1066-17-7,SmallMoleculeDrug,C13768,D02138,131704173,46505467,,PA164760862,,,,,"",,,Colistin,,,,,DAP001324
DB00804,Dicyclomine,77-19-0,SmallMoleculeDrug,C06951,,3042,46505371,4514,PA164744928,,,,,6425,http://www.rxlist.com/cgi/generic/dicyc.htm,,Dicyclomine,http://www.drugs.com/cdi/dicyclomine.html,,2934,50010101,DAP001118
DB00805,Minaprine,25905-77-5,SmallMoleculeDrug,,,4199,46505380,51038,PA164748351,,,,,"",,,,,,4054,50074289,DAP000475
DB00806,Pentoxifylline,6493-05-6,SmallMoleculeDrug,C07424,D00501,4740,46505940,7986,PA450864,PNX,,,,1929,http://www.rxlist.com/cgi/generic/pentox.htm,,Pentoxifylline,http://www.drugs.com/cdi/pentoxifylline.html,,4578,10850,DAP000048
DB00807,Proparacaine,499-67-2,SmallMoleculeDrug,C07383,D08448,4935,46507960,8485,PA164776849,,,,,20365,http://www.rxlist.com/cgi/generic2/propara.htm,,Proparacaine,http://www.drugs.com/cdi/proparacaine-drops.html,,4766,50017718,DAP000513
DB00808,Indapamide,26807-65-8,SmallMoleculeDrug,,D00345,3702,46508626,5893,PA449975,,,,,1960,http://www.rxlist.com/cgi/generic/indap.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/loz1241.shtml,Indapamide,http://www.drugs.com/cdi/indapamide.html,,3574,25901,DAP000498
DB00809,Tropicamide,1508-75-4,SmallMoleculeDrug,,D00397,5593,46505924,9757,PA164749389,,,,,5843,,,Tropicamide,http://www.drugs.com/cdi/tropicamide.html,,5391,82371,DAP000345
DB00810,Biperiden,514-65-8,SmallMoleculeDrug,C07941,D00779,2381,46508325,3112,PA448626,,,,,6471,http://www.rxlist.com/cgi/generic2/biperiden.htm,,Biperiden,http://www.drugs.com/cdi/biperiden.html,,2289,50240680,DAP001125
DB00811,Ribavirin,36791-04-5,SmallMoleculeDrug,,D00423,37542,46505883,63580,PA451241,RBV,,,,2184,http://www.rxlist.com/copegus-drug.htm,,Ribavirin,http://www.drugs.com/cdi/ribavirin.html,,34439,50154375,DNC001210
DB00812,Phenylbutazone,50-33-9,SmallMoleculeDrug,C07440,D00510,4781,46507038,48574,PA450932,P1Z,,,,9536,,,Phenylbutazone,,,4617,,DAP000974
DB00813,Fentanyl,437-38-7,SmallMoleculeDrug,,D00320,3345,46506372,119915,PA449599,7V7,,,,10075; 10124,http://www.rxlist.com/cgi/generic2/fentanyl.htm,,Fentanyl,http://www.drugs.com/fentanyl.html,,3228,50008984,DAP000072
DB00814,Meloxicam,71125-38-7,SmallMoleculeDrug,C08169,D00969,54677470,46506624,6741,PA450353,MXM,,,,11764,http://www.rxlist.com/cgi/generic/mobic.htm,,Meloxicam,http://www.drugs.com/cdi/meloxicam.html,,10442740,50056998,DAP000971
DB00815,Sodium lauryl sulfate,151-21-3,SmallMoleculeDrug,C11166,D01045,3423265,46508769,8984,PA451398,,,,,9195,,,Sodium_lauryl_sulfate,,,8677,,DAP001227
DB00816,Orciprenaline,586-06-1,SmallMoleculeDrug,C07144,D00685,4086,46504464,83329,PA450390,,,,,9867,http://www.rxlist.com/cgi/generic2/metaproterenol.htm,,Orciprenaline,,,3944,50295572,DNC000927
DB00817,Rosoxacin,40034-42-2,SmallMoleculeDrug,,D02305,287180,46508469,131715,PA164776843,,,,,"",,,,,,253208,,DAP000929
DB00818,Propofol,2078-54-8,SmallMoleculeDrug,C07523,D00549,4943,46504991,44915,PA451141,PFL,,,,8209,http://www.rxlist.com/cgi/generic2/propof.htm,,Propofol,http://www.drugs.com/propofol.html,,4774,50058046,DAP000662
DB00819,Acetazolamide,59-66-5,SmallMoleculeDrug,C06805,D00218,1986,46504493,27690,PA448018,AZM,,,,6299,http://www.rxlist.com/cgi/generic/aceta.htm,,Acetazolamide,http://www.drugs.com/cdi/acetazolamide.html,,1909,10880,DAP000600
DB00820,Tadalafil,171596-29-5,SmallMoleculeDrug,,D02008,110635,46507646,71940,PA10333,CIA,,,,12346,http://www.rxlist.com/cgi/generic3/cialis.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/cia1687.shtml,Tadalafil,http://www.drugs.com/tadalafil.html,,99301,14777,DAP000615
DB00821,Carprofen,53716-49-7,SmallMoleculeDrug,C18364,,2581,46505357,364453,PA164781361,,,,,11859,,,Carprofen,,,2483,50097346,DAP000975
DB00822,Disulfiram,97-77-8,SmallMoleculeDrug,C01692,D00131,3117,46506008,4659,PA449376,,,,,5805,http://www.rxlist.com/cgi/generic/disulfiram.htm,,Disulfiram,http://www.drugs.com/cdi/disulfiram.html,,3005,50058655,DAP000012
DB00823,Ethynodiol diacetate,297-76-7,SmallMoleculeDrug,C12724,D01294,9270,46506993,31580,PA164749157,,,,,7410,http://www.rxlist.com/cgi/generic/ethynoc.htm,,Ethynodiol_diacetate,,,8913,,DAP000856
DB00824,Enprofylline,41078-02-8,SmallMoleculeDrug,,D04006,1676,46505790,126237,PA164749350,,,,,"",,,Enprofylline,,,1613,50001493,DAP001375
DB00825,Menthol,2216-51-5,SmallMoleculeDrug,C00400,D00064,16666,46506513,15409,PA164776605,,,,,265; 418,,,Menthol,http://www.drugs.com/cdi/menthol-cream.html,,15803,50318482,DAP000876
DB00826,Natamycin,7681-93-8,SmallMoleculeDrug,C08073,D00884,5284447,46509171,,PA164744325,,,,,"",http://www.rxlist.com/cgi/generic2/natamycin.htm,,Natamycin,http://www.drugs.com/cdi/natamycin.html,,10468784,50370755,DAP001331
DB00827,Cinoxacin,28657-80-9,SmallMoleculeDrug,C08052,D00872,2762,46507547,3716,PA449007,,,,,"",http://www.rxlist.com/cgi/generic3/cinobac.htm,,Cinoxacin,http://www.drugs.com/cons/cinoxacin.html,,2660,39350,DAP000999
DB00828,Fosfomycin,23155-02-4,SmallMoleculeDrug,C06454,D04253,446987,46506665,28915,PA164748039,FCN,,,,11861,http://www.rxlist.com/cgi/generic2/fosfomycin.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/mon1275.shtml,Fosfomycin,http://www.drugs.com/cdi/fosfomycin.html,,394204,50024894,DAP000767
DB00829,Diazepam,439-14-5,SmallMoleculeDrug,C06948,D00293,3016,46505210,49575,PA449283,DZP,,,,9418,http://www.rxlist.com/cgi/generic/diazepam.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/val1473.shtml,Diazepam,http://www.drugs.com/diazepam.html,,2908,50000766,DNC000549
DB00830,Phenmetrazine,134-49-6,SmallMoleculeDrug,C07432,,4762,46504524,8067,PA164747188,,,,,"",,,Phenmetrazine,,,4598,,DAP000860
DB00831,Trifluoperazine,117-89-5,SmallMoleculeDrug,C07168,,5566,46507961,45951,PA451771,TFP,,,,7996; 7997,http://www.rxlist.com/cgi/generic3/trifluo.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tri1412.shtml,Trifluoperazine,http://www.drugs.com/cdi/trifluoperazine.html,,5365,79181,DAP000034
DB00832,Phensuximide,86-34-0,SmallMoleculeDrug,C07437,D00508,6839,46505695,8079,PA164771230,,,,,"",,,Phensuximide,,,6578,,
DB00833,Cefaclor,53994-73-3,SmallMoleculeDrug,C06877,D00256,51039,46507693,3478,PA164749137,,,,,2098,http://www.rxlist.com/cgi/generic/cefaclor.htm,,Cefaclor,http://www.drugs.com/cdi/cefaclor.html,,46260,42131,DAP000442
DB00834,Mifepristone,84371-65-3,SmallMoleculeDrug,C07652,D00585,55245,46505795,50692,PA450500,486,,,,22628,http://www.rxlist.com/cgi/generic3/mifeprist.htm,,Mifepristone,http://www.drugs.com/cdi/mifepristone.html,,49889,18627,DAP000090
DB00835,Brompheniramine,86-22-6,SmallMoleculeDrug,C06857,D00663,6834,46508137,3183,PA448675,,,,,10205,,,Brompheniramine,http://www.drugs.com/cdi/brompheniramine-12-hour-sustained-release-tablets.html,,6573,50017666,DAP001066
DB00836,Loperamide,53179-11-6,SmallMoleculeDrug,C07080,D08144,3955,46504591,6532,PA450262,,,,,2251,http://www.rxlist.com/cgi/generic3/loperamide.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/imo1206.shtml,Loperamide,http://www.drugs.com/cdi/loperamide.html,,3818,50017698,DAP000425
DB00837,Progabide,62666-20-0,SmallMoleculeDrug,,D05621,5361323,46506568,,PA164747990,,,,,"",,,Progabide,,,10642379,,DAP000258
DB00838,Clocortolone,4828-27-7,SmallMoleculeDrug,,D07719,5311052,46505290,59582,PA164744013,,,,,"",http://www.rxlist.com/cgi/generic2/clocortolone.htm,,Clocortolone,http://www.drugs.com/cdi/clocortolone.html,,4470589,,DAP001190
DB00839,Tolazamide,1156-19-0,SmallMoleculeDrug,,D00379,5503,46505642,9613,PA164774902,,,,,"",http://www.rxlist.com/cgi/generic/tolinase.htm,,Tolazamide,http://www.drugs.com/cdi/tolazamide.html,,5302,,DAP000919
DB00840,Hydroxypropyl cellulose,9004-64-2,SmallMoleculeDrug,,D01536,,46508483,,PA164746492,,,,,13317,http://www.rxlist.com/cgi/generic/lacrisert.htm,,Hydroxypropyl_cellulose,http://www.drugs.com/cdi/artificial-tear-insert.html,,,,
DB00841,Dobutamine,34368-04-2,SmallMoleculeDrug,C06967,D03879,36811,46505241,4670,PA449381,,,,,11085,http://www.rxlist.com/cgi/generic3/dobutamine.htm,,Dobutamine,http://www.drugs.com/cdi/dobutamine.html,,33786,50325274,DAP000245
DB00842,Oxazepam,604-75-1,SmallMoleculeDrug,C07359,D00464,4616,46506031,7823,PA450731,,,,,9956,http://www.rxlist.com/cgi/generic3/oxazepam.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/oxa1400.shtml,Oxazepam,http://www.drugs.com/cdi/oxazepam.html,,4455,85031,DAP000243
DB00843,Donepezil,120014-06-4,SmallMoleculeDrug,,D00670,3152,46504803,53289,PA449394,,,,,11485,http://www.rxlist.com/cgi/generic/donepezil.htm,,Donepezil,http://www.drugs.com/cdi/donepezil.html,,3040,8960,DAP000560
DB00844,Nalbuphine,20594-83-6,SmallMoleculeDrug,C07251,D08246,5311304,46507383,7454,PA164745372,,,,,2008,http://www.rxlist.com/cgi/generic3/nalbuphine.htm,,Nalbuphine,http://www.drugs.com/cdi/nalbuphine.html,,4470813,50105085,DAP000380
DB00845,Clofazimine,2030-63-9,SmallMoleculeDrug,C06915,D00278,2794,46508174,3749,PA164748759,,,,,"",http://www.rxlist.com/cgi/generic3/clofazimine.htm,,Clofazimine,http://www.drugs.com/cons/clofazimine.html,,2692,50378783,DAP000789
DB00846,Flurandrenolide,1524-88-5,SmallMoleculeDrug,,D00328,15209,46505159,5127,PA164750513,,,,,7569,http://www.rxlist.com/cgi/generic2/fluran.htm,,Fludroxycortide,http://www.drugs.com/cdi/flurandrenolide-cream.html,,14475,,DAP000418
DB00847,Cysteamine,60-23-1,SmallMoleculeDrug,C01678,D03634,6058,46507730,17141,PA449171,DHL,,,,22871,http://www.rxlist.com/cystagon-drug.htm,,Cysteamine,http://www.drugs.com/cdi/cysteamine.html,,5834,7968,DAP001297
DB00848,Levamisole,14769-73-4,SmallMoleculeDrug,C07070,D08114,26879,46509052,6432,PA450205,,,,,4130; 1326; 2363; 2801,http://www.rxlist.com/cgi/generic3/levamisole.htm,,Levamisole,http://www.drugs.com/mtm/levamisole.html,,25037,50241179,DAP000570
DB00849,Methylphenobarbital,115-38-8,SmallMoleculeDrug,C07829,D00700,8271,46505197,6758,PA450374,,,,,"",http://www.rxlist.com/cgi/generic2/mephobarbital.htm,,Mephobarbital,,,7972,,DAP000680
DB00850,Perphenazine,58-39-9,SmallMoleculeDrug,C07427,D00503,4748,46507058,8028,PA450882,,,,,8003,http://www.rxlist.com/cgi/generic3/perphenazine.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tri1616.shtml,Perphenazine,http://www.drugs.com/cdi/perphenazine.html,,4586,50130273,DAP000100
DB00851,Dacarbazine,4342-03-4,SmallMoleculeDrug,C06936,D00288,5351166,46507029,4305,PA449197,,,,,2264,http://www.rxlist.com/cgi/generic2/dacarbazine.htm,,Dacarbazine,http://www.drugs.com/cdi/dacarbazine.html,,10481959,,DAP000533
DB00852,Pseudoephedrine,90-82-4,SmallMoleculeDrug,C02765,D08449,7028,46508190,51209,PA451170,,,,,773; 6492; 8942,http://www.rxlist.com/cgi/generic/sudafed.htm,,Pseudoephedrine,http://www.drugs.com/pseudoephedrine.html,,6761,,DAP000195
DB00853,Temozolomide,85622-93-1,SmallMoleculeDrug,,D06067,5394,46507934,72564,PA451609,,,,,11923,http://www.rxlist.com/cgi/generic2/temoz.htm,,Temozolomide,http://www.drugs.com/cdi/temozolomide.html,,5201,50034562,DAP000987
DB00854,Levorphanol,77-07-6,SmallMoleculeDrug,C08014,D08123,5359272,46506558,6444,PA164744368,,,,,"",http://www.rxlist.com/cgi/generic2/levorphanol.htm,,Levorphanol,http://www.drugs.com/cdi/levorphanol.html,,16736212,50017233,DAP000268
DB00855,Aminolevulinic acid,106-60-5,SmallMoleculeDrug,C00430,,137,46506856,17549,PA10015,,,,,12216,http://www.rxlist.com/cgi/generic3/levulan.htm,,Aminolevulinic_acid,http://www.drugs.com/cdi/aminolevulinic-acid-solution.html,,134,50240386,DAP000314
DB00856,Chlorphenesin,104-29-0,SmallMoleculeDrug,C07928,,7697,46504714,3642,PA164784022,,,,,5969,,,,http://www.drugs.com/mtm/chlorphenesin.html,,7411,,
DB00857,Terbinafine,91161-71-6,SmallMoleculeDrug,C08079,D02375,1549008,46508519,9448,PA451614,,,,,11385; 707,http://www.rxlist.com/cgi/generic/terbin.htm,,Terbinafine,http://www.drugs.com/cdi/terbinafine.html,,1266005,50018518,DAP000753
DB00858,Drostanolone,58-19-5,SmallMoleculeDrug,C14605,,6011,46508724,34838,PA164760855,,,,,"",,,Drostanolone,,,5789,,DAP000840
DB00859,Penicillamine,52-67-5,SmallMoleculeDrug,C07418,D00496,5852,46508305,7959,PA450840,LEI,,,,10302,http://www.rxlist.com/cgi/generic3/penicillamine.htm,,Penicillamine,http://www.drugs.com/cdi/penicillamine.html,,5643,50217941,DNC000575
DB00860,Prednisolone,50-24-8,SmallMoleculeDrug,C07369,D00472,5755,46504847,8378,PA451096,,,,,7617; 7627; 7630,http://www.rxlist.com/cgi/generic/prednisolone.htm,,Prednisolone,http://www.drugs.com/cdi/prednisolone-acetate-drops.html,,5552,19190,DAP000419
DB00861,Diflunisal,22494-42-4,SmallMoleculeDrug,C01691,D00130,3059,46507807,39669,PA449313,1FL,,,,2113,http://www.rxlist.com/cgi/generic3/diflunisal.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/dol1145.shtml,Diflunisal,http://www.drugs.com/cdi/diflunisal.html,,2951,50240510,DAP000152
DB00862,Vardenafil,224785-90-4,SmallMoleculeDrug,,D09989,110634,46506777,46295,PA10229,VDN,,,,13311,http://www.rxlist.com/cgi/generic3/levitra.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/lev1688.shtml,Vardenafil,http://www.drugs.com/cdi/vardenafil.html,,99300,50088373,DAP000414
DB00863,Ranitidine,66357-35-5,SmallMoleculeDrug,,D00422,3001055,46505543,8776,PA451224,,,,,11096; 1974; 11476,http://www.rxlist.com/cgi/generic2/ranitbc.htm,,Ranitidine,http://www.drugs.com/ranitidine.html,,2272523,50103506,DAP000340
DB00864,Tacrolimus,104987-11-3,SmallMoleculeDrug,C01375,D00107,445643,46506004,61049,PA451578,FK5,,,,167,http://www.rxlist.com/cgi/generic2/tacrolimus.htm,,Tacrolimus,http://www.drugs.com/cdi/tacrolimus.html,,393220,50030448,DAP000162
DB00865,Benzphetamine,156-08-1,SmallMoleculeDrug,C07538,,5311017,46506102,3044,PA448586,,,,,"",http://www.rxlist.com/cgi/generic/benzphet.htm,,Benzphetamine,http://www.drugs.com/cdi/benzphetamine.html,,4470556,,DAP001147
