DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB01047,APRD00978,Fluocinonide,356-12-7,2W4A77YPAN,Fluocinonide | Fluocinonido | Fluocinonidum,WJOHZNCJWYWUJD-IUGZLZTKSA-N
DB01048,APRD00216,Abacavir,136470-78-5,WR2TIP26VS,{(1S-cis)-4-[2-amino-6-(cyclopropylamino)-9H-purin-9-yl]cyclopent-2-en-1-yl}methanol | ABC ,MCGSCOLBFJQGHM-SCZZXKLOSA-N
DB01049,APRD00711 | DB01287,Ergoloid mesylate,8067-24-1,X3S33EX3KW,co-dergocrine mesilate | co-dergocrine mesylate | co-dergocrine methanesulfonate | codergocrine mesilate | codergocrine mesylate | codergocrine methanesulfonate | Dihydroergotoxine Mesilate | Dihydroergotoxine Mesylate | dihydroergotoxine methanesulfonate | Dihydroergotoxine Methanesulfonate | dihydroergotoxine methanesulfonates | dihydroergotoxine monomethanesulfonate | dihydrogenated ergot alkaloids | Ergoloid Mesylates | ergoloid methanesulfonate | ergoloid methanesulfonates | hydrogenated ergot alkaloids,
DB01050,APRD00372,Ibuprofen,15687-27-1,WK2XYI10QM,(±)-2-(p-isobutylphenyl)propionic acid | (±)-ibuprofen | (±)-p-isobutylhydratropic acid | (±)-α-methyl-4-(2-methylpropyl)benzeneacetic acid | (4-isobutylphenyl)-α-methylacetic acid | (RS)-ibuprofen | 2-(4-isobutylphenyl)propanoic acid | 4-isobutylhydratropic acid | Ibuprophen | α-(4-isobutylphenyl)propionic acid | α-(p-isobutylphenyl)propionic acid,HEFNNWSXXWATRW-UHFFFAOYSA-N
DB01051,APRD00694,Novobiocin,303-81-1,17EC19951N,N-{7-[(3-O-carbamoyl-6-deoxy-5-methyl-4-O-methyl-beta-D-gulopyranosyl)oxy]-4-hydroxy-8-methyl-2-oxo-2H-chromen-3-yl}-4-hydroxy-3-(3-methylbut-2-en-1-yl)benzamide | Novobiocin | Novobiocina | Novobiocine | Novobiocinum,YJQPYGGHQPGBLI-KGSXXDOSSA-N
DB01053,APRD00646 | DB11612,Benzylpenicillin,61-33-6,Q42T66VG0C,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | 6-(2-phenylacetamido)penicillanic acid | Bencilpenicilina | bensylpenicillin | benzyl benicillin | Benzylpénicilline | Benzylpenicillinic acid | Benzylpenicillinum | Free penicillin II | PCG | Penicillin G | PG",JGSARLDLIJGVTE-MBNYWOFBSA-N
DB01054,APRD00421,Nitrendipine,39562-70-4,9B627AW319,"1,4-dihydro-2,6-Dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid ethyl methyl ester | BAY e 5009 | Bayotensin | Baypress | Bylotensin | Deiten | Nidrel | Nitrendipino | Nitrendipinum",PVHUJELLJLJGLN-UHFFFAOYSA-N
DB01055,APRD00647,Mimosine,500-44-7,Z46B1LUI5N,(S)-2-Amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate | L-Mimosine | Leucaenine | Leucaenol | Leucenine | Leucenol | Mimosin,WZNJWVWKTVETCG-YFKPBYRVSA-N
DB01056,APRD01266,Tocainide,41708-72-9,27DXO59SAN,"2-Amino-2',6'-propionoxylidide | 2-amino-N-(2,6-Dimethylphenyl)propanamide | 2-Amino-N-(2,6-dimethylphenyl)propionamid | Alanyl-2,6-xylidide | Tocainida | Tocainidum",BUJAGSGYPOAWEI-UHFFFAOYSA-N
DB01057,APRD00942,Echothiophate,6736-03-4,0F350BVT6S,"2-(Diethoxyphosphorylsulfanyl)ethyl-N,N,N-trimethylazanium iodide | Echothiophate | Ecothiopate | Ecothiopatum | Phospholine",BJOLKYGKSZKIGU-UHFFFAOYSA-N
DB01058,APRD01196 | EXPT02728,Praziquantel,55268-74-1,6490C9U457,"",FSVJFNAIGNNGKK-UHFFFAOYSA-N
DB01059,APRD00469,Norfloxacin,70458-96-7,N0F8P22L1P,"1-Ethyl-6-fluor-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-chinolincarbonsaeure | 1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid | 1,4-Dihydro-1-ethyl-6-fluoro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid | NFLX | Norfloxacine | Norfloxacino | Norfloxacinum",OGJPXUAPXNRGGI-UHFFFAOYSA-N
DB01060,APRD00248,Amoxicillin,26787-78-0,9EM05410Q9,"(2S,5R,6R)-6-{[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | 6-(p-hydroxy-α-aminophenylacetamido)penicillanic acid | Amox | Amoxicilina | Amoxicillin (anhydrous) | Amoxicillin anhydrous | Amoxicilline | Amoxicillinum | Amoxycillin | AX | p-Hydroxyampicillin | α-amino-p-hydroxybenzylpenicillin",LSQZJLSUYDQPKJ-NJBDSQKTSA-N
DB01061,APRD00814,Azlocillin,37091-66-0,HUM6H389W0,"(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-{[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | Azlocilina | Azlocillin | Azlocilline | Azlocillinum",JTWOMNBEOCYFNV-NFFDBFGFSA-N
DB01062,APRD00427,Oxybutynin,5633-20-5,K9P6MC7092,"4-(Diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester | 4-Diethylamino-2-butinyl alpha-cyclohexylmandelat | 4-Diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate | Benzeneacetic acid, alpha-cyclohexyl-alpha-hydroxy-, 4-(diethylamino)-2-butynyl ester | Cyclohexaneglycolic acid, alpha-phenyl-, 4-(diethylamino)-2-butynyl ester | Oxibutinina | Oxybutynin | Oxybutynine | Oxybutyninum",XIQVNETUBQGFHX-UHFFFAOYSA-N
DB01063,APRD00462,Acetophenazine,2751-68-0,8620H6K4QH,Acetophenazine,WNTYBHLDCKXEOT-UHFFFAOYSA-N
DB01064,APRD00182,Isoprenaline,7683-59-2,L628TT009W,"(+-)-Isoprenaline | (+-)-Isoproterenol | (±)-isoprenaline | (±)-isoproterenol | 1-(3,4-Dihydroxyphenyl)-2-(isopropylamino)ethanol | 1-(3,4-Dihydroxyphenyl)-2-isopropylaminoethanol | 3,4-Dihydroxy-alpha-[(isopropylamino)methyl]benzyl alcohol | alpha-(Isopropylaminomethyl)protocatechuyl alcohol | Isoprenalina | Isoprenaline | Isoprenalinum | Isopropyl noradrenaline | Isoproterenol | N-Isopropyl-beta-dihydroxyphenyl-beta-hydroxyethylamine | N-isopropyl-β-dihydroxyphenyl-β-hydroxyethylamine | N-Isopropylnoradrenaline | N-Isopropylnorepinephrine | α-(isopropylaminomethyl)protocatechuyl alcohol",JWZZKOKVBUJMES-UHFFFAOYSA-N
DB01065,APRD00742 | DB08189,Melatonin,73-31-4,JL5DK93RCL,5-methoxy-N-acetyltryptamine | Melatonin | Melatonine | N-[2-(5-methoxyindol-3-yl)ethyl]acetamide | N-Acetyl-5-methoxytryptamine,DRLFMBDRBRZALE-UHFFFAOYSA-N
DB01066,APRD00850,Cefditoren,104145-95-1,81QS09V3YW,"",KMIPKYQIOVAHOP-YLGJWRNMSA-N
DB01067,APRD00436,Glipizide,29094-61-9,X7WDT95N5C,1-cyclohexyl-3-({p-[2-(5-methylpyrazinecarboxamido)ethyl]phenyl}sulfonyl)urea | Glipizida | Glipizide | Glipizidum | N-{4-[β-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-N'-cyclohexylurea,ZJJXGWJIGJFDTL-UHFFFAOYSA-N
DB01068,APRD00054,Clonazepam,1622-61-3,5PE9FDE8GB,"1,3-dihydro-7-Nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one | 5-(2-Chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one | 5-(2-Chlorophenyl)-7-nitro-1H-benzo[e][1,4]diazepin-2(3H)-one | 5-(O-Chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one | CLONAZEPAM | Clonazepamum",DGBIGWXXNGSACT-UHFFFAOYSA-N
DB01069,APRD00601,Promethazine,60-87-7,FF28EJQ494,"(2-dimethylamino-2-methyl)ethyl-N-dibenzoparathiazine | 10-(2-Dimethylaminopropyl)phenothiazine | 10-[2-(dimethylamino)Propyl]phenothiazine | N-(2'-dimethylamino-2'-Methyl)ethylphenothiazine | N,N,alpha-Trimethyl-10H-phenothiazine-10-ethanamine | N,N,α-trimethyl-10H-phenothiazine-10-ethanamine | Proazamine | Prometazina | Promethazine | Promethazinum",PWWVAXIEGOYWEE-UHFFFAOYSA-N
DB01070,APRD00143,Dihydrotachysterol,67-96-9,R5LM3H112R,Anti-tetany substance 10 | Dihidrotaquisterol | Dihydrotachysterolum,ILYCWAKSDCYMBB-OPCMSESCSA-N
DB01071,APRD00386,Mequitazine,29216-28-2,Y463242LY2,Kitazemin | Mequitazina | Mequitazinum,HOKDBMAJZXIPGC-UHFFFAOYSA-N
DB01072,APRD00804,Atazanavir,198904-31-3,QZU4H47A3S,Atazanavirum | ATV | ATZ | Latazanavir | Zrivada,AXRYRYVKAWYZBR-GASGPIRDSA-N
DB01073,APRD00594,Fludarabine,21679-14-1,P2K93U8740,2-F-ARAA | 2-fluoro ARA-A,HBUBKKRHXORPQB-FJFJXFQQSA-N
DB01074,APRD00107,Perhexiline,6621-47-2,KU65374X44,"(-)-2-(2,2-Dicyclohexylethyl)piperidine | (+)-2-(2,2-Dicyclohexylethyl)piperidine | 2-(2,2-Dicyclohexylethyl)piperidine | Perhexilene | Perhexilina | Perhexiline | Perhexilinum | Perhexilline",CYXKNKQEMFBLER-UHFFFAOYSA-N
DB01075,APRD00587 | DB06975,Diphenhydramine,58-73-1,8GTS82S83M,"2-(Benzhydryloxy)-N,N-dimethylethylamine | 2-diphenylmethoxy-N,N-demthylethanamine | alpha-(2-Dimethylaminoethoxy)diphenylmethane | beta-Dimethylaminoethanol diphenylmethyl ether | beta-Dimethylaminoethyl benzhydryl ether | Difenhidramina | Diphenhydraminum | N-(2-(Diphenylmethoxy)ethyl)-N,N-dimethylamine | O-benzhydryldimethylaminoethanol | β-dimethylaminoethyl benzhydryl ether",ZZVUWRFHKOJYTH-UHFFFAOYSA-N
DB01076,APRD00055,Atorvastatin,134523-00-5,A0JWA85V8F,Lipovastatinklonal,XUKUURHRXDUEBC-KAYWLYCHSA-N
DB01077,APRD00964,Etidronic acid,2809-21-4,M2F465ROXU,"(1-hydroxy-ethylidene)diphosphonic acid | (1-Hydroxyethylene)diphosphonic acid | (1-Hydroxyethylidene)bis(phosphonic acid) | (1-Hydroxyethylidene)bisphosphonic acid | (1-Hydroxyethylidene)diphosphonic acid | (Hydroxyethylidene)diphosphonic acid | 1-Hydroxy-1,1-diphosphonoethane | 1-hydroxyethane 1,1-diphosphonic acid | 1-Hydroxyethane-1,1-bisphosphonic acid | 1-Hydroxyethane-1,1-diphosphonate | 1-Hydroxyethane-1,1-diphosphonic acid | 1-Hydroxyethanediphosphonic acid | 1-Hydroxyethylidene-1,1-bisphosphonate | 1-Hydroxyethylidene-1,1-diphosphonic acid | 1,1,1-Ethanetriol diphosphonate | Acetodiphosphonic acid | acide étidronique | ácido etidrónico | acidum etidronicum | EHDP | Ethane-1-hydroxy-1,1-bisphosphonic acid | Ethane-1-hydroxy-1,1-diphosphonate | Ethane-1-hydroxy-1,1-diphosphonic acid | Etidronate | Etidronsäure | HEDP | Hydroxyethanediphosphonic acid | Oxyethylidenediphosphonic acid",DBVJJBKOTRCVKF-UHFFFAOYSA-N
DB01078,APRD00909,Deslanoside,17598-65-1,YGY317RK75,"(3beta,5beta,12beta)-3-{[beta-D-glucopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy}-12,14-dihydroxycard-20(22)-enolide | 3-[(O-beta-D-Glucopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl)oxy]-12,14-dihydroxy-3beta,5beta,12beta-card-20(22)-enolide | Deacetyllanatoside C | Desacetyllanatoside C | Deslanosido | Deslanosidum | Glucodigoxin",OBATZBGFDSVCJD-LALPQLPRSA-N
DB01079,APRD00096,Tegaserod,145158-71-0,458VC51857,1-(((5-Methoxyindol-3-yl)methylene)amino)-3-pentylguanidine | tégasérod | tegaserodum,IKBKZGMPCYNSLU-RGVLZGJSSA-N
DB01080,APRD00282,Vigabatrin,68506-86-5,GR120KRT6K,4-Amino-5-hexenoic acid | Gamma vinyl GABA | gamma-Vinyl GABA | gamma-Vinyl-gamma-aminobutyric acid | GVG | Vigabatrin | Vigabatrina | Vigabatrine | Vigabatrinum | Vinyl gamma-aminobutyric acid,PJDFLNIOAUIZSL-UHFFFAOYSA-N
DB01081,APRD00366,Diphenoxylate,915-30-0,73312P173G,"1-(3-Cyano-3,3-diphenylpropyl)-4-phenyl-isonipecotic acid ethyl ester | 2,2-Diphenyl-4-(4-carbethoxy-4-phenylpiperidino)butyronitrile | 4-Ethoxycarbonyl-alpha,alpha,4-triphenyl-1-piperidinebutyronitrile | Difenossilato | Difenoxilato | Diphenoxylatum | Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenyl-4-piperidinecarboxylate | Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotate",HYPPXZBJBPSRLK-UHFFFAOYSA-N
DB01082,APRD00412,Streptomycin,57-92-1,Y45QSO73OB,"2,4-diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside | Estreptomicina | Streptomicina | Streptomyzin",UCSJYZPVAKXKNQ-HZYVHMACSA-N
DB01083,APRD00255,Orlistat,96829-58-2,95M8R751W8,(-)-Tetrahydrolipstatin | Orlipastat | Orlipastatum | Tetrahydrolipstatin,AHLBNYSZXLDEJQ-FWEHEUNISA-N
DB01084,APRD00946,Emedastine,87233-61-2,9J1H7Y9OJV,"1-(2-Ethoxy-ethyl)-2-(4-methyl-[1,4]diazepan-1-yl)-1H-benzoimidazole | 1-(2-Ethoxyethyl)-2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)benzimidazole | 1-[2-(Ethoxy)ethyl]-2-(4-methyl-1-homopiperazinyl)benzimidazole | Emedastina | Emedastinum",KBUZBQVCBVDWKX-UHFFFAOYSA-N
DB01085,APRD00382,Pilocarpine,92-13-7,01MI4Q9DI3,"(3S-cis)-3-Ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-2(3H)-furanone | (3S,4R)-3-Ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-2(3H)-furanone | Pilocarpine",QCHFTSOMWOSFHM-WPRPVWTQSA-N
DB01086,APRD00539,Benzocaine,94-09-7,U3RSY48JW5,4-aminobenzoic acid ethyl ester | Amben ethyl ester | Benzocaina | Benzocaine | Benzocainum | Ethyl Aminobenzoate | Ethyl p-Aminobenzoate | Ethyl p-Aminophenylcarboxylate | p-(Ethoxycarbonyl)aniline | p-Carbethoxyaniline | p-Ethoxycarboxylic Aniline,BLFLLBZGZJTVJG-UHFFFAOYSA-N
DB01087,APRD00604,Primaquine,90-34-6,MVR3634GX1,6-Methoxy-8-(4-amino-1-methylbutylamino)quinoline | 8-((4-Amino-1-methylbutyl)amino)-6-methoxyquinoline | 8-(4-Amino-1-methylbutylamino)-6-methoxyquinoline | Neo-quipenyl | Primachin | Primachinum | Primaquin | Primaquina | Primaquinum,INDBQLZJXZLFIT-UHFFFAOYSA-N
DB01088,APRD01027,Iloprost,78919-13-8,JED5K35YGL,"",HIFJCPQKFCZDDL-ACWOEMLNSA-N
DB01089,APRD00906,Deserpidine,131-01-1,9016E3VB47,"(3beta,16beta,17alpha,18beta,20alpha)-17-Methoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]yohimban-16-carboxylic acid methyl ester | 11-demethoxyreserpine | 11-desmethoxyreserpine | Canescine | Deserpidina | Deserpidine | Deserpidinum | Raunormine | Recanescine",CVBMAZKKCSYWQR-WCGOZPBSSA-N
DB01090,APRD00038,Pentolinium,144-44-5,ULL76WPU5X,Pentolineum | Pentolonium | Pentolonum,XSBSKEQEUFOSDD-UHFFFAOYSA-N
DB01091,APRD00833,Butenafine,101828-21-1,91Y494NL0X,(4-Tert-butyl-benzyl)-methyl-naphthalen-1-ylmethyl-amine | (4-Tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine | 4-Tert-butylbenzyl(methyl)(1-naphthalenemethyl)amine | Butenafina | Butenafine | Butenafinum | N-(P-Tert-butylbenzyl)-N-methyl-1-naphthalenemethylamine,ABJKWBDEJIDSJZ-UHFFFAOYSA-N
DB01092,APRD00135,Ouabain,630-60-4,5ACL011P69,"3-(α-L-rhamnopyranosyloxy)-1β,5β,11α,14,19-pentahydroxy-5β-card-20(22)-enolide | G-Strophanthin | Ouabagenin L-Rhamnoside | Ouabagenin-L-rhamnosid | Ouabain anhydrous | Ouabaine | Oubain",LPMXVESGRSUGHW-HBYQJFLCSA-N
DB01093,APRD00925 | EXPT01231,Dimethyl sulfoxide,67-68-5,YOW8V9698H,(CH3)2SO | Dimethyl sulfoxide | Dimethyl sulfur oxide | Dimethyl sulphoxide | Dimethyli sulfoxidum | Dimethylsulfoxid | Dimethylsulfoxyde | Dimetil sulfoxido | DMSO | Methylsulfinylmethane | S(O)Me2 | Sulfinylbis(methane),IAZDPXIOMUYVGZ-UHFFFAOYSA-N
DB01094,APRD00117,Hesperetin,520-33-2,Q9Q3D557F1,"(-)-(S)-Hesperetin | (-)-Hesperetin | (S)-2,3-dihydro-5,7-Dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one | 3',5,7-Trihydroxy-4'-methoxyflavanone | Cyanidanon 4'-Methyl Ether 1626 | Hesperetin | Hesperitin | YSO2",AIONOLUJZLIMTK-AWEZNQCLSA-N
DB01095,APRD00346,Fluvastatin,93957-54-1,4L066368AS,fluvastatina | fluvastatine | fluvastatinum,FJLGEFLZQAZZCD-JUFISIKESA-N
DB01096,APRD01150,Oxamniquine,21738-42-1,0O977R722D,Mansil,XCGYUJZMCCFSRP-UHFFFAOYSA-N
DB01097,APRD00205,Leflunomide,75706-12-6,G162GK9U4W,"5-Methyl-N-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide | 5-Methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide | alpha,alpha,alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-P-toluidide | Leflunomida | Leflunomide | Leflunomidum | Lefunomide",VHOGYURTWQBHIL-UHFFFAOYSA-N
DB01098,APRD00546,Rosuvastatin,287714-41-4,413KH5ZJ73,"(3R,5S,6e)-7-(4-(4-Fluorophenyl)-6-(1-methylethyl)-2-(ethyl(methylsulfonyl)amino)-5-pyrimidinyl)-3,5-dihydroxy-6-heptenoic acid | (3R,5S,6e)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoic acid",BPRHUIZQVSMCRT-VEUZHWNKSA-N
DB01099,APRD00299,Flucytosine,2022-85-7,D83282DT06,5-FC | 5-Fluorocystosine | 5-Fluorocytosin | 5-Fluorocytosine | 5-Flurocytosine | Ancobon (tn) | Flucytosin | Flucytosine | Fluocytosine | Fluorcytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N
DB01100,APRD00218,Pimozide,2062-78-4,1HIZ4DL86F,Pimozida | Pimozide | Pimozidum,YVUQSNJEYSNKRX-UHFFFAOYSA-N
DB01101,APRD00203,Capecitabine,154361-50-9,6804DJ8Z9U,"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester | Capecitabin | Capecitabina | Capecitabinum | Pentyl [1-(5-deoxy-beta-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate | Pentyl 1-(5-deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate",GAGWJHPBXLXJQN-UORFTKCHSA-N
DB01102,APRD00802,Arbutamine,128470-16-6,B07L15YAEV,Arbutamina | Arbutaminum,IIRWWTKISYTTBL-SFHVURJKSA-N
DB01103,APRD00317,Quinacrine,83-89-6,H0C805XYDE,"2-methoxy-6-chloro-9-diethylaminopentylaminoacridine | 3-chloro-7-methoxy-9-(1-methyl-4-diethylaminobutylamino)acridine | 6-chloro-9-((4-(diethylamino)-1-methylbutyl)amino)-2-methoxyacridine | Mepacrine | N4-(6-chloro-2-methoxy-9-acridinyl)-N1,N1-diethyl-1,4-pentanediamine",GPKJTRJOBQGKQK-UHFFFAOYSA-N
DB01104,APRD00175 | DB08567,Sertraline,79617-96-2,QUC7NX6WMB,"(+)-Sertraline | (1S-cis)-1,2,3,4-tetrahydro-4-(3,4-dichlorophenyl)-N-methyl-1-naphthalenamine | (1S,4S)-sertraline | cis-(+)-sertraline | Sertralina | Sertraline | Sertralinum",VGKDLMBJGBXTGI-SJCJKPOMSA-N
DB01105,APRD00456,Sibutramine,106650-56-0,WV5EC51866,Butramin | Sibutramina | Sibutraminum,UNAANXDKBXWMLN-UHFFFAOYSA-N
DB01106,APRD01069,Levocabastine,79516-68-0,H68BP06S81,Levocabastin | Levocabastina | Levocabastinum,ZCGOMHNNNFPNMX-KYTRFIICSA-N
DB01107,APRD00734,Methyprylon,125-64-4,CUT48I42ON,Methprylon | Methyprolon | Methyprylon | Methyprylone | Methyprylonum | Metiprilon | Metiprilona | Metiprilone,SIDLZWOQUZRBRU-UHFFFAOYSA-N
DB01108,APRD01276,Trilostane,13647-35-3,L0FPV48Q5R,Trilostano | Trilostanum,KVJXBPDAXMEYOA-CXANFOAXSA-N
DB01109,APRD00056,Heparin,9005-49-6,T2410KM04A,Calciparine | Eparina | Heparinate | Heparinic acid | Liquaemin | Panheprin | Unfractionated heparin,
DB01110,APRD01115,Miconazole,22916-47-8,7NNO0D7S5M,"1-(2,4-Dichloro-beta-((2,4-dichlorobenzyl)oxy)phenethyl)imidazole | 1-[2-(2,4-Dichloro-benzyloxy)-2-(2,4-dichloro-phenyl)-ethyl]-1H-imidazole | Daktarin iv | Miconazole | Monistat iv (tn)",BYBLEWFAAKGYCD-UHFFFAOYSA-N
DB01111,APRD00885,Colistimethate,12705-41-8,DL2R53P963,Colistin methanesulfonic acid | Colistin sulfomethate | Colistinmethanesulfonic acid,BSSIRFLGSWHWDE-UHFFFAOYSA-I
DB01112,APRD00285,Cefuroxime,55268-75-2,O1R9FJ93ED,"(6R,7R)-3-[(Carbamoyloxy)methyl]-7-{[(2Z)-2-furan-2-yl-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefuroxim | Cefuroxime | Cefuroximo | Cefuroximum | Cephuroxime | Zinacef danmark",JFPVXVDWJQMJEE-IZRZKJBUSA-N
DB01113,APRD00628 | DB07725,Papaverine,58-74-2,DAA13NKG2Q,Mesotina,XQYZDYMELSJDRZ-UHFFFAOYSA-N
DB01114,APRD00001 | DB09440,Chlorphenamine,132-22-9,3U6IO1965U,"1-(p-chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane | 1-(p-chlorophenyl)-1-(2-pyridyl)-3-N,N-dimethylpropylamine | 2-[p-chloro-α-[2-(dimethylamino)ethyl]benzyl]pyridine | 3-(p-chlorophenyl)-3-(2-pyridyl)-N,N-dimethylpropylamine | Chlorophenylpyridamine | Chlorphenamin | Chlorphenaminum | Chlorpheniramine | Chlorpheniramine polistirex | Chlorpheniraminum | Clorfenamina | Clorfeniramina | γ-(4-chlorophenyl)-N,N-dimethyl-2-pyridinepropanamine | γ-(4-chlorophenyl)-γ-(2-pyridyl)propyldimethylamine",SOYKEARSMXGVTM-UHFFFAOYSA-N
DB01115,APRD00590,Nifedipine,21829-25-4,I9ZF7L6G2L,"4-(2'-Nitrophenyl)-2,6-dimethyl-1,4-dihydropyridin-3,5-dicarbonsaeuredimethylester | Adapine | Nifecard | Nifecor | Nifedipine | Nifedipino | Nifedipinum | Nifedipres",HYIMSNHJOBLJNT-UHFFFAOYSA-N
DB01116,APRD00044,Trimethaphan,7187-66-8,6G8X656T45,Thimethaphan | Trimetaphan | Trimetaphanum | Trimethaphan,CHQOEHPMXSHGCL-UHFFFAOYSA-N
DB01117,APRD00805,Atovaquone,95233-18-4,Y883P1Z2LT,"2-(trans-4-(P-Chlorophenyl)cyclohexyl)-3-hydroxy-1,4-naphthoquinone | Acuvel | Wellvone",KUCQYCKVKVOKAY-CTYIDZIISA-N
DB01118,APRD00288,Amiodarone,1951-25-3,N3RQ532IUT,"2-Butyl-3-(3,5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran | 2-Butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3,5-diiodophenyl ketone | 2-N-Butyl-3',5'-diiodo-4'-N-diethylaminoethoxy-3-benzoylbenzofuran | Amiodarona | Amiodarone | Amiodaronum",IYIKLHRQXLHMJQ-UHFFFAOYSA-N
DB01119,APRD00914,Diazoxide,364-98-7,O5CB12L4FN,Diazossido | Diazoxide | Diazoxido | Diazoxidum | Eudemine,GDLBFKVLRPITMI-UHFFFAOYSA-N
DB01120,APRD00460,Gliclazide,21187-98-4,G4PX8C4HKV,1-(3-Azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea | 1-(Hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea | Gliclazida | Gliclazidum | N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea,BOVGTQGAOIONJV-UHFFFAOYSA-N
DB01121,APRD00089,Phenacemide,63-98-9,PAI7J52V09,"",XPFRXWCVYUEORT-UHFFFAOYSA-N
DB01122,APRD00771,Ambenonium,7648-98-8,L16PUN799N,Ambenonium | Ambenonium base | Ambenonum,OMHBPUNFVFNHJK-UHFFFAOYSA-P
DB01123,APRD00535,Proflavine,92-62-6,CY3RNB3K4T,"2,8-Diaminoacridine | 3,6-acridinediamine | 3,6-diaminoacridine | Diaminoacridine | Proflavin | Proflavina | Proflavine | Proflavinum",WDVSHHCDHLJJJR-UHFFFAOYSA-N
